County/ Sub-County,Conventional Households,Earth/ Sand,Dung,"Wood
TURKANA NORTH,12964,90.5,0.9,2.3,1.1,0.1,0,0.2,4.8,0.1,0
TURKANA SOUTH,24281,78.4,4.9,0.5,0.4,0.2,0.3,0.8,14.2,0.1,0.1
TURKANA WEST,44740,84.9,2.2,1.2,0.2,0.4,0.4,0.5,7.9,2.2,0.1
WEST POKOT,115761,45.5,35.1,0.5,0.1,0.2,0,1.5,16.9,0.2,0
KIPKOMO,18367,41,38.2,0.2,0,0,0,0.7,19.9,0,-
POKOT CENTRAL,21784,56.8,33.4,0.3,0.1,0.2,0,0.2,9,0.1,0
POKOT NORTH,25736,50.1,41.5,1.2,0.1,0.1,0,0.2,6.6,0,0.1
POKOT SOUTH,13752,57.9,29.8,0.1,0.2,0.1,0,0.6,11.2,0.2,-
WEST POKOT,36122,33.1,31.9,0.4,0.1,0.4,0.1,4,29.5,0.6,0
SAMBURU,63951,72.8,4.4,0.5,0.1,0.2,0.1,2.6,19,0.5,0
SAMBURU CENTRAL,33720,66.2,6.3,0.5,0.1,0.2,0.1,3.8,22.6,0.2,0
SAMBURU EAST,17307,78.4,1.9,0.4,0.1,0.2,0,2,15.8,1.2,-
SAMBURU NORTH,12924,82.3,2.6,0.6,0.1,0,0,0.5,13.6,0.2,0
TRANS NZOIA,222989,20.4,39.7,0.2,0,0.1,0.1,6.1,32.2,1.1,0
TRANS NZOIA WEST,47576,18,32.3,0.2,0,0.1,0.2,6.3,41.2,1.7,0
TRANS NZOIA EAST,49955,26.8,42.5,0.1,0,0,0.1,4.5,25.1,0.8,0
KWANZA,45599,14.3,47.1,0.3,0,0.1,0.1,5.6,31,1.4,0
ENDEBESS,23246,25.8,56.1,0.2,0,0,0,0.6,16.5,0.7,0
KIMININI,56613,19.6,30.6,0.2,0.1,0.2,0.1,10,38.2,0.9,0
UASIN GISHU,301110,14,20.6,0.3,0,0.3,0.2,13.2,49.7,1.7,0
AINABKOI,34862,14.8,19.8,0.5,0,0.7,0.3,15.7,45.8,2.5,0
KAPSERET,59678,10.8,9.2,0.2,0,0.4,0.4,16,61.6,1.3,0
KESSES,34623,21.4,29.7,1.2,0,0.2,0.1,9,37.2,1.2,0
MOIBEN,46602,10.9,21.8,0.2,0,0.1,0.1,17.8,46.8,2.2,0
SOY,53758,18.4,29.5,0.2,0,0.2,0.1,7.2,43.3,1,0
TURBO,71587,11.4,18.5,0.1,0,0.2,0.1,13.3,54.4,1.9,0
ELGEYO/MARAKWET,99119,29.2,39.5,0.5,0.1,0.1,0,2.6,27.4,0.5,0
KEIYO NORTH,21749,21.7,33.4,0.2,0,0.1,0,5.9,37.8,0.9,0
KEIYO SOUTH,26740,19.8,46.6,0.9,0,0.2,0.1,1.9,29.6,0.9,0
MARAKWET EAST,21123,48.2,30.2,0.5,0.5,0.1,0,0.9,19.4,0.1,0
MARAKWET WEST,29507,29.8,44.1,0.3,0,0,0,2.1,23.5,0.1,0
NANDI,199040,17.2,39.9,0.2,0,0.1,0,4.9,36.9,0.9,0
CHESUMEI,39011,13.4,32,0.1,0,0,0,8.8,44.2,1.5,0
NANDI CENTRAL,34247,15.5,35.3,0.1,0,0.1,0.1,6.8,40.9,1.1,0
NANDI EAST,29249,15.8,30.2,0.3,0,0.1,0,3.8,48.4,1.2,0
NANDI NORTH,35257,18.1,48.9,0.1,0.1,0.1,0.1,3.2,29,0.4,0
NANDI SOUTH,37038,20.7,45.5,0.1,0,0,0,3.7,29.6,0.4,0
TINDERET,24238,20.4,49.2,0.4,0,0,0,1.4,27.9,0.6,0
BARINGO,141877,47.2,15.4,1.3,0.1,0.2,0,2.5,32.8,0.4,0
BARINGO CENTRAL,23523,32.9,13.5,0.2,-,0.1,0,4.6,48,0.7,0
BARINGO NORTH,23345,57.4,13.7,0.7,0,0,0,1.1,26.9,0.1,0
EAST POKOT,14392,77,11.5,2.8,0.7,0.2,0.1,0.4,7.2,0.1,-
KOIBATEK,30752,24.3,22.1,3.3,0,0.6,0,4.5,44.3,0.8,0
MARIGAT,19658,51.6,11.5,0.3,0,0.1,0,1.5,34.6,0.4,0
MOGOTIO,18169,42.7,17.7,0.1,-,0.1,0,2.7,36.5,0.2,-
TIATY EAST,12038,77.7,12.3,1.3,0.2,0.1,0,0.3,8,0,0
LAIKIPIA,145776,49.9,3,0.5,0,0.2,0.1,4.8,39.8,1.7,0
LAIKIPIA CENTRAL,29877,50.3,0.2,0.5,0,0.2,0.1,5.9,41.3,1.5,0
LAIKIPIA EAST,31311,35,1.1,0.4,0,0.3,0.1,6.4,54.3,2.3,0
LAIKIPIA NORTH,7694,76.6,4.5,0.6,0.2,0.2,0.2,0.6,16.8,0.2,0
LAIKIPIA WEST,32821,64.6,7.1,0.3,0,0.1,0,2.6,24.5,0.7,0
NYAHURURU,44073,44.5,3,0.5,0,0.1,0.1,5.4,43.8,2.5,0
NAKURU,598237,27.9,7.7,0.3,0,0.2,0.2,10.6,51.4,1.7,0
GILGIL,49405,35.5,2.4,0.1,0,0.4,0.1,11.8,48,1.7,0
KURESOI NORTH,40168,48.4,30.1,0.8,0,0.1,0,1.4,18.4,0.7,0
KURESOI SOUTH,34543,32.1,36,0.4,0,0.1,0,1.9,28.5,1,0
MOLO,41439,44.1,8,0.6,0,0.2,0.1,5.5,40.5,1.1,0
NAIVASHA,111493,18.6,0.6,0.1,0,0.2,0.4,11.5,65.9,2.6,0
NAKURU EAST,60066,7.5,0.3,0.2,0,0.4,0.2,23.8,64.8,2.8,0
NAKURU NORTH,61582,23.5,1.4,0.2,0,0.1,0.1,16,57.2,1.5,0
NAKURU WEST,64429,9.1,1.5,0.2,0,0.3,0.1,10.9,75.6,2.1,0
NJORO,61156,48.2,12.1,0.3,0.1,0.1,0.1,4.8,33.2,1.2,0
RONGAI,52248,28.4,11,0.3,0,0.1,0.1,12.3,46.7,0.9,0
SUBUKIA,21708,48.1,5.8,0.2,0,0.1,0,3.7,41.2,0.7,0
NAROK,238115,46.3,28.1,0.3,0.1,0.2,0.1,3.2,20.8,0.9,0
NAROK EAST,24860,67.4,5.2,0.2,0.1,0.1,0,2.6,23.3,1,0
NAROK NORTH,59802,49.7,8,0.4,0.1,0.2,0.1,8.1,31.8,1.7,0
NAROK SOUTH,46549,56,28.6,0.7,0.1,0.2,0.1,1.1,12.7,0.4,0
NAROK WEST,37782,41.3,40.9,0.2,0.1,0.2,0.1,1.7,14.6,1.1,0
TRANS MARA EAST,20439,26.8,64.1,0.2,0.1,0,0,0.5,8.2,0.1,0
TRANS MARA WEST,48683,34.3,38.8,0.2,0,0.1,0,1.9,24.1,0.5,0
MAU FOREST,-,-,-,-,-,-,-,-,-,-,-
KAJIADO,313218,21.7,1.2,0.3,0.1,0.3,0.2,18.8,56,1.4,0
ISINYA,71395,5.9,0.1,0.4,0.1,0.4,0.1,27.3,64.1,1.4,0.1
KAJIADO CENTRAL,37059,39.1,2.8,0.3,0.1,0.1,0,8.8,48,0.8,0
KAJIADO NORTH,100908,4.9,0.1,0.3,0,0.5,0.3,28.2,63.6,2.2,0
KAJIADO WEST,42367,41,4,0.3,0.1,0.2,0.1,9.5,43.8,1.1,0
LOITOKITOK,45581,49.4,1.5,0.3,0.1,0.1,0.1,4.9,42.8,0.8,0
MASHUURU,15908,27.7,0.6,0.2,0.2,0.6,0.1,8.2,61.3,1.2,0
KERICHO,205932,16.8,37.3,0.4,0,0.2,0.1,4.7,39.2,1.4,0
BELGUT,34978,13.6,30.4,0.1,0,0.3,0.1,5.1,49.2,1.1,0
BURETI,43098,21,37.3,0.1,0,0.2,0,5.2,33.8,2.3,0
KERICHO EAST,44246,10.1,23.8,0.1,0,0.2,0.1,7.6,56.4,1.6,0.1
KIPKELION,24676,20.7,55.3,1.2,0,0.2,0.1,1.1,20.6,0.7,0
LONDIANI,31739,19.5,36.5,1.2,0,0.2,0.1,3.3,38.2,1.1,0
SOIN SIGOWET,27195,18.2,52.4,0.2,0,0,0.1,3.3,24.7,1.1,0
BOMET,187230,22.7,41.2,0.2,0,0.1,0,3.7,30.6,1.5,0
BOMET EAST,29897,27.4,47.6,0.1,0,0.1,0,2,21.8,0.9,0
CHEPALUNGU,33850,21.6,64.4,0.1,0,0,0,2.1,11.3,0.5,0
KONOIN,38123,16.3,26.6,0.2,0,0.2,0,3.1,51.7,1.9,0
SOTIK,47265,27.2,40.3,0.2,0,0.1,0,4.3,25.5,2.4,0
BOMET CENTRAL,38095,20.8,31.4,0.2,-,0.1,0,6.2,39.8,1.6,0
KAKAMEGA,432284,16.2,55.3,0.1,0,0.1,0,3.5,24.2,0.6,0
BUTERE,36243,15.7,64.7,0.1,0,0,0,1.9,17.3,0.3,0
KAKAMEGA CENTRAL,51956,12.9,27.1,0.1,0,0.1,0.1,10.8,46.8,2.2,0
KAKAMEGA EAST,39589,17.9,58.1,0.2,0,0,0,2.7,20.7,0.3,0.1
KAKAMEGA NORTH,50952,21,57.3,0.1,0,0.1,0,1.8,19.3,0.3,0
KAKAMEGA SOUTH,26940,8.1,69.8,0.1,0,0,0,2.7,19,0.2,0
KHWISERO,27681,15,64.7,0.1,0,0,0,2.4,17.3,0.4,0
LIKUYANI,34776,17.1,41.7,0.1,0.1,0.1,0.2,4.9,34.9,0.8,0
LUGARI,27817,12.9,54,0.1,0,0,0,3.6,28.5,0.8,0
MATETE,13956,24.6,56.6,0.3,0,0.1,0,1.5,16.5,0.4,-
MATUNGU,36414,11.2,68.4,0.1,0.1,0.1,0.1,1.4,18.3,0.2,0
MUMIAS EAST,25995,18.3,62.1,0.1,0,0.1,0,2.3,16.9,0.2,0
MUMIAS WEST,27650,13.9,50.4,0.1,-,0.1,0.1,3.6,31.3,0.5,0
NAVAKHOLO,32315,24,62.3,0.2,0.1,0.1,0,1.2,11.8,0.2,0
VIHIGA,143288,17.1,50.7,0.1,0,0,0,3.8,27.5,0.6,0
EMUHAYA,23803,15.1,62,0.1,-,0,0,2.3,20.1,0.5,0
VIHIGA,23359,17.3,48.8,0.1,0,0.1,0,4.3,29,0.5,0
SABATIA,31391,17.1,49.9,0.1,-,0.1,0,4.4,27.6,0.8,0
LUANDA,26766,16.3,49.4,0.1,0,0,0,3.8,29.7,0.7,0
HAMISI,37965,19,46.4,0.1,0,0,0.1,4.2,29.8,0.4,0
KAKAMEGA FOREST,4,50,-,-,-,-,-,-,50,-,-
BUNGOMA,357714,23.4,43.9,0.2,0,0.1,0.1,4,27.4,0.9,0
BUMULA,44922,35.2,42.6,0.2,0.1,0.1,0,1.2,20.4,0.2,0
BUNGOMA CENTRAL,37535,25.2,45.2,0.3,0,0.1,0.1,2.3,26.4,0.4,0
BUNGOMA EAST,24798,13.2,51.5,0.2,0,0,0,3.7,31.1,0.3,0
BUNGOMA NORTH,24940,22.4,51,0.1,0.1,0,0,2.7,23.1,0.5,0
BUNGOMA SOUTH,69088,19.5,28.2,0.2,0.1,0.2,0.1,9.9,41.1,1,0
CHEPTAIS,26007,27.4,54.8,0.4,0.1,0.1,0.3,0.8,16,0.2,0
KIMILILI,35053,23.2,45.8,0.2,0.1,0.1,0.1,4,23.9,2.7,0
MT. ELGON,15230,21.5,54.5,0.2,0,0.2,0,2,21.1,0.3,0
BUNGOMA WEST,25166,30.2,37.1,0.2,0,0.2,0.1,1.5,30.4,0.3,0
TONGAREN,21343,18.7,48.9,0.1,-,0.1,0,3.2,28.3,0.7,0
WEBUYE WEST,32834,17.5,51.3,0.1,0,0.1,0,4.4,23.6,2.9,0
MT. ELGON FOREST,798,13.3,86.1,0.4,-,-,-,-,0.3,-,-
BUSIA,197944,15,46.3,0.1,0,0.1,0.1,4.5,33.3,0.5,0
BUNYALA,19028,20.4,34.5,0.1,0,0,0,2.7,42,0.5,0
BUSIA,33152,11.1,40.7,0.1,0.1,0.3,0.1,8.1,38.3,1,0
BUTULA,32199,11.7,61.5,0.1,0,0.2,0,2.3,23.9,0.3,0
NAMBALE,23889,18.6,53.4,0.1,0,0.3,0,2.9,24.3,0.4,0
SAMIA,23813,11.3,53.2,0.1,0,0,0,3,32.2,0.2,-
TESO NORTH,29314,19,31.8,0.1,0,0,0,4.9,43.4,0.8,0
TESO SOUTH,36549,15.7,46.7,0.1,0,0.1,0.2,5.5,31,0.5,0
SIAYA,249341,20.4,34.4,0.1,0,0.1,0.1,4.8,39.2,0.9,0
SIAYA,57386,18.4,35.1,0.1,0.1,0.1,0.1,5.4,39.8,1,0.1
GEM,44696,21.2,44.3,0.1,0,0,0,3.9,29.9,0.5,0
UGENYA,33554,14.7,46.4,0.1,0.1,0.1,0,3.5,34.5,0.5,0
UGUNJA,26321,15,44.2,0.1,0,0.2,0.1,4.7,35.2,0.6,0
BONDO,50454,23.1,19.8,0.1,0,0.1,0,6.4,49.1,1.4,0
RARIEDA,36930,27.8,23.3,0.1,0,0.1,0.1,4,43.6,0.9,0.1
KISUMU,296846,22.6,19.2,0.1,0,0.1,0.1,11.3,44.5,1.9,0
KISUMU EAST,61499,19.9,7.3,0,0,0.2,0.1,15.1,54.1,3.2,0
KISUMU CENTRAL,52163,10.9,0.8,0.1,0,0.2,0.2,22.6,61.4,3.8,0
KISUMU WEST,42785,22.4,15,0.1,0,0.1,0.1,10.5,50.7,1.1,0
SEME,29404,29.5,19.5,0.2,0.1,0.1,0.1,5.1,44.7,0.7,0
MUHORONI,36982,30.5,33.4,0.1,0,0,0,3.7,31.1,1,0
NYANDO,38460,27.3,39.1,0.1,0,0.1,0.1,7,24.9,1.3,0
NYAKACH,35553,26.1,35.7,0.1,0,0.1,0,6.6,30.6,0.8,0
HOMA BAY,260290,28.1,29.8,0.2,0.1,0.1,0.1,4.4,36.5,0.7,0
HOMA BAY,28471,21.6,18,0.1,0.1,0.1,0.1,9,49.3,1.6,0
NDHIWA,47956,39.9,34.8,0.2,0,0,0,2.2,22.3,0.4,0
RACHUONYO NORTH,41661,27.2,24,0.1,0.1,0,0,4.8,43.5,0.4,0
RACHUONYO EAST,27229,33.6,28.9,0.1,0,0.1,0,4,32.9,0.3,0
RACHUONYO SOUTH,30693,23.7,26.2,0.1,0.1,0.1,0.1,7.3,41.6,0.7,0
RANGWE,26983,28.7,35.6,0.3,0.1,0.2,0.2,4,30.4,0.5,0
SUBA NORTH,29662,20.4,31.7,0.1,0.1,0,0,3.1,43.1,1.4,0
SUBA SOUTH,27635,23.2,39.1,0.2,0.1,0.1,0.1,2.1,34.3,0.6,0
MIGORI,238133,39.1,20.1,0.1,0.1,0.2,0.1,4.9,34.8,0.6,0
AWENDO,27014,32.9,25.1,0.1,0,0,0,3.8,37.5,0.5,0
KURIA EAST,17267,69.5,13.1,0.2,0.2,0.4,0.2,2.2,13.9,0.2,0
KURIA WEST,39723,56.4,8.6,0.1,0.1,0.4,0.1,4.6,29.2,0.6,0
NYATIKE,39358,35.2,17.9,0.1,0,0,0,3.4,42.7,0.6,0
RONGO,29007,28.3,23.1,0.1,0,0.1,0.1,7.4,40.1,0.8,0
SUNA EAST,27214,25,25.4,0.1,0,0.1,0,8.2,40.2,0.8,0.1
SUNA WEST,28839,38.5,11.2,0.1,0.1,0.2,0.3,7.4,41.1,1,0
URIRI,29711,33.4,38.3,0.2,0,0.2,0,2.4,25.1,0.3,0
KISII,307254,38.1,28.8,0.2,0,0,0.1,4.3,27.8,0.7,0
ETAGO,18610,42,41.6,0.5,0,0,0,0.8,14.7,0.2,0
GUCHA,19621,37,34.5,0.1,0,0,0,3.2,24.6,0.5,0
GUCHA SOUTH,19627,42.1,36.5,0.1,0,0.1,0.1,2.4,17.9,0.7,0
KENYENYA,30985,38.7,34.5,0.4,0,0,0,1.3,24.7,0.3,0
KISII CENTRAL,44037,22.6,25.5,0.2,-,0.1,0.1,8.7,41,1.8,0
KISII SOUTH,31574,53.6,13.8,0,0,0,0,4.7,27.4,0.5,0
KITUTU CENTRAL,41233,32.7,13,0,0,0,0,10.8,42,1.4,0
MARANI,26133,39.8,44.3,0.2,0,0,0.1,1.4,14,0.2,0
MASABA SOUTH,29206,40.9,29.3,0.1,0,0,0,2.8,26.5,0.3,0
NYAMACHE,30583,38.6,35.2,0.3,0,0,0,1.5,24,0.3,0
SAMETA,15645,45.7,27.7,0,0,0,0,2,24.2,0.2,0
NYAMIRA,150499,35.9,33.1,0.1,0,0.1,0.1,4.4,25.5,0.7,0
BORABU,19404,27.3,25.1,0.1,0.1,0.3,0.1,5.9,40.6,0.4,0
MANGA,23836,28.5,39.9,0.1,0.1,0.3,0.1,3.8,26.4,0.7,0
MASABA NORTH,27904,34.8,35.7,0.1,0,0.1,0.1,3.7,25.1,0.4,0
NYAMIRA NORTH,40396,38.4,36.6,0.1,0,0,0.1,3.8,20.4,0.7,0
NYAMIRA SOUTH,38959,43.1,27.5,0.1,0,0.1,0.1,5.1,23.3,0.8,0
NAIROBI CITY,1494676,6.2,0.1,0.6,0,1.4,0.4,25.4,62.5,3.2,0.1
DAGORETTI,154949,4.6,0,0.1,0,0.3,0.1,13.5,79.1,2.3,0.1
EMBAKASI,346462,3.6,0,0.2,0,0.4,0.6,33.3,59.8,2.1,0
KAMUKUNJI,83680,8.6,0.2,0.2,0,0.2,0.5,18.5,65.7,5.9,0.1
KASARANI,268611,5.2,0.2,0.2,0,0.7,0.2,33.6,56.3,3.7,0
KIBRA,61651,21.4,0.9,0.7,0,1.7,0.7,10.2,59.8,4.7,0
LANG'ATA,60187,10.1,0.1,2.1,0.1,5.1,0.8,38.5,40.7,2.2,0.1
MAKADARA,70080,3.8,0,0.3,0,0.7,1,11,77.4,5.7,0
MATHARE,74967,12.2,0.2,0.3,0,0.2,0.4,4.4,78.7,3.7,0.1
NJIRU,204492,5.6,0.1,0.1,0,0.1,0.1,28.1,62.4,3.3,0.1
STAREHE,66108,4.9,0.1,0.9,0.1,1.5,0.4,25.7,63.6,2.7,0.1
WESTLANDS,103489,5.6,0.1,4.7,0.1,11.5,0.9,22.2,52.3,2.5,0