County/ Sub-County,Total NO,At School/ Learning Institution Number,At School/ Learning Institution per cent,"Left School/ Learning Institution
  After Completion Number","Left School/ Learning Institution
  After Completion per cent","Left School/ Learning Institution
  Before Completion Number","Left School/ Learning Institution
  Before per cent","Never Been to School/ Learning
  Institution Number","Never Been to School/ Learning
  Institution per cent",Dont know Number,Dont know per cent,Not Stated Number
KENYA,43739906,17780277,40.7,11568544,26.4,6854538,15.7,7120542,16.3,406887,0.9,9118
Rural,30253083,12922660,42.7,6023054,19.9,5088656,16.8,5940009,19.6,273416,0.9,5288
Urban,13486823,4857617,36,5545490,41.1,1765882,13.1,1180533,8.8,133471,1,3830
Male,21574077,9040318,41.9,5910664,27.4,3172382,14.7,3223856,14.9,222301,1,4556
Female,22164531,8739524,39.4,5657565,25.5,3681910,16.6,3896417,17.6,184558,0.8,4557
Intersex,1298,435,33.5,315,24.3,246,19,269,20.7,28,2.2,5
MOMBASA,1100173,378423,34.4,457603,41.6,153982,14,101097,9.2,8817,0.8,251
Male,552476,189490,34.3,243173,44,74382,13.5,40253,7.3,5043,0.9,135
Female,547681,188930,34.5,214424,39.2,79596,14.5,60843,11.1,3772,0.7,116
CHANGAMWE,121334,39032,32.2,58097,47.9,16205,13.4,6940,5.7,1048,0.9,12
Male,63184,19482,30.8,31918,50.5,8157,12.9,2976,4.7,647,1,4
Female,58150,19550,33.6,26179,45,8048,13.8,3964,6.8,401,0.7,8
JOMVU,149699,51892,34.7,64235,42.9,19430,13,13416,9,698,0.5,28
Male,75931,26020,34.3,34362,45.3,9689,12.8,5424,7.1,422,0.6,14
Female,73765,25872,35.1,29872,40.5,9739,13.2,7992,10.8,276,0.4,14
KISAUNI,263742,95844,36.3,102940,39,37450,14.2,25182,9.5,2257,0.9,69
Male,131351,48136,36.6,54063,41.2,18051,13.7,9748,7.4,1315,1,38
Female,132388,47707,36,48876,36.9,19399,14.7,15434,11.7,941,0.7,31
LIKONI,228472,79083,34.6,90079,39.4,34337,15,23434,10.3,1516,0.7,23
Male,115784,39336,34,49230,42.5,16522,14.3,9784,8.5,897,0.8,15
Female,112685,39746,35.3,40849,36.3,17814,15.8,13650,12.1,618,0.5,8
MVITA,138927,46714,33.6,54731,39.4,18229,13.1,17745,12.8,1441,1,67
Male,66589,23515,35.3,27476,41.3,8307,12.5,6515,9.8,736,1.1,40
Female,72336,23198,32.1,27255,37.7,9922,13.7,11229,15.5,705,1,27
NYALI,197999,65858,33.3,87521,44.2,28331,14.3,14380,7.3,1857,0.9,52
Male,99637,33001,33.1,46124,46.3,13656,13.7,5806,5.8,1026,1,24
Female,98357,32857,33.4,41393,42.1,14674,14.9,8574,8.7,831,0.8,28
KWALE,783189,334612,42.7,152178,19.4,98811,12.6,192001,24.5,5418,0.7,169
Male,382538,171696,44.9,83012,21.7,49352,12.9,75281,19.7,3108,0.8,89
Female,400636,162911,40.7,69162,17.3,49457,12.3,116716,29.1,2310,0.6,80
KINANGO,84534,38765,45.9,9817,11.6,9969,11.8,25594,30.3,372,0.4,17
Male,40445,20011,49.5,5412,13.4,5040,12.5,9783,24.2,192,0.5,7
Female,44088,18753,42.5,4405,10,4929,11.2,15811,35.9,180,0.4,10
LUNGA LUNGA,180056,76787,42.6,22030,12.2,23394,13,55779,31,2056,1.1,10
Male,87893,39663,45.1,12198,13.9,12070,13.7,22798,25.9,1158,1.3,6
Female,92161,37124,40.3,9831,10.7,11324,12.3,32980,35.8,898,1,4
MATUGA,177675,76734,43.2,40378,22.7,22561,12.7,37190,20.9,771,0.4,41
Male,87377,39476,45.2,21744,24.9,11056,12.7,14610,16.7,469,0.5,22
Female,90296,37257,41.3,18633,20.6,11505,12.7,22580,25,302,0.3,19
MSAMBWENI,159936,61075,38.2,52123,32.6,22798,14.3,22665,14.2,1245,0.8,30
Male,80181,30868,38.5,28037,35,11099,13.8,9381,11.7,777,1,19
Female,79752,30206,37.9,24085,30.2,11698,14.7,13284,16.7,468,0.6,11
SAMBURU,180988,81251,44.9,27830,15.4,20089,11.1,50773,28.1,974,0.5,71
Male,86642,41678,48.1,15621,18,10087,11.6,18709,21.6,512,0.6,35
Female,94339,39571,41.9,12208,12.9,10001,10.6,32061,34,462,0.5,36
KILIFI,1323664,605776,45.8,282538,21.3,175199,13.2,250280,18.9,9634,0.7,237
Male,636891,308926,48.5,154263,24.2,86075,13.5,82303,12.9,5214,0.8,110
Female,686754,296841,43.2,128273,18.7,89122,13,167972,24.5,4420,0.6,126
CHONYI,57246,28875,50.4,8612,15,7410,12.9,12060,21.1,289,0.5,-
Male,26917,14936,55.5,4814,17.9,3513,13.1,3509,13,145,0.5,-
Female,30328,13938,46,3798,12.5,3897,12.8,8551,28.2,144,0.5,-
GANZE,131101,67193,51.3,14842,11.3,13191,10.1,35066,26.7,761,0.6,48
Male,60552,34222,56.5,7843,13,6804,11.2,11272,18.6,391,0.6,20
Female,70546,32969,46.7,6999,9.9,6387,9.1,23793,33.7,370,0.5,28
KALOLENI,176734,80964,45.8,32710,18.5,20914,11.8,40720,23,1369,0.8,57
Male,83996,41402,49.3,17946,21.4,10588,12.6,13331,15.9,705,0.8,24
Female,92733,39559,42.7,14764,15.9,10326,11.1,27388,29.5,664,0.7,32
KAUMA,20821,10969,52.7,3354,16.1,1753,8.4,4517,21.7,228,1.1,-
Male,10054,5659,56.3,2004,19.9,865,8.6,1421,14.1,105,1,-
Female,10767,5310,49.3,1350,12.5,888,8.2,3096,28.8,123,1.1,-
KILIFI NORTH,162990,72834,44.7,40268,24.7,24984,15.3,23855,14.6,1040,0.6,9
Male,78763,36930,46.9,21544,27.4,12190,15.5,7498,9.5,597,0.8,4
Female,84225,35902,42.6,18724,22.2,12794,15.2,16357,19.4,443,0.5,5
KILIFI SOUTH,187663,76984,41,53927,28.7,28002,14.9,26646,14.2,2092,1.1,12
Male,91863,39007,42.5,29022,31.6,13465,14.7,9225,10,1137,1.2,7
Female,95799,37977,39.6,24904,26,14537,15.2,17421,18.2,955,1,5
MAGARINI,174553,86722,49.7,24896,14.3,22469,12.9,39884,22.8,562,0.3,20
Male,84429,44425,52.6,14412,17.1,11450,13.6,13822,16.4,307,0.4,13
Female,90124,42297,46.9,10484,11.6,11019,12.2,26062,28.9,255,0.3,7
MALINDI,301205,132098,43.9,76156,25.3,43748,14.5,46878,15.6,2241,0.7,84
Male,146545,67256,45.9,41483,28.3,21034,14.4,15451,10.5,1282,0.9,39
Female,154653,64841,41.9,34672,22.4,22712,14.7,31424,20.3,959,0.6,45
RABAI,111351,49137,44.1,27773,24.9,12728,11.4,20654,18.5,1052,0.9,7
Male,53772,25089,46.7,15195,28.3,6166,11.5,6774,12.6,545,1,3
Female,57579,24048,41.8,12578,21.8,6562,11.4,13880,24.1,507,0.9,4
TANA RIVER,284605,95997,33.7,32815,11.5,29062,10.2,125160,44,1445,0.5,126
Male,142087,50470,35.5,19351,13.6,14502,10.2,56872,40,835,0.6,57
Female,142516,45527,31.9,13464,9.4,14560,10.2,68287,47.9,609,0.4,69
TANA DELTA,99792,38308,38.4,11589,11.6,10687,10.7,38778,38.9,384,0.4,46
Male,50066,19808,39.6,6810,13.6,5371,10.7,17832,35.6,229,0.5,16
Female,49726,18500,37.2,4779,9.6,5316,10.7,20946,42.1,155,0.3,30
TANA NORTH,105495,28681,27.2,10250,9.7,7843,7.4,57968,54.9,724,0.7,29
Male,53199,15776,29.7,6284,11.8,4254,8,26472,49.8,396,0.7,17
Female,52294,12905,24.7,3966,7.6,3589,6.9,31495,60.2,327,0.6,12
TANA RIVER,79318,29008,36.6,10976,13.8,10532,13.3,28414,35.8,337,0.4,51
Male,38822,14886,38.3,6257,16.1,4877,12.6,12568,32.4,210,0.5,24
Female,40496,14122,34.9,4719,11.7,5655,14,15846,39.1,127,0.3,27
LAMU,130991,50249,38.4,30833,23.5,22762,17.4,26325,20.1,786,0.6,36
Male,69111,25969,37.6,18933,27.4,11830,17.1,11888,17.2,472,0.7,19
Female,61877,24278,39.2,11899,19.2,10932,17.7,14437,23.3,314,0.5,17
LAMU EAST,20637,7592,36.8,4029,19.5,4189,20.3,4745,23,82,0.4,-
Male,10805,3866,35.8,2599,24.1,2164,20,2112,19.5,64,0.6,-
Female,9832,3726,37.9,1430,14.5,2025,20.6,2633,26.8,18,0.2,-
LAMU WEST,110354,42657,38.7,26804,24.3,18573,16.8,21580,19.6,704,0.6,36
Male,58306,22103,37.9,16334,28,9666,16.6,9776,16.8,408,0.7,19
Female,52045,20552,39.5,10469,20.1,8907,17.1,11804,22.7,296,0.6,17
TAITA/TAVETA,312593,116381,37.2,118731,38,47998,15.4,28128,9,1286,0.4,69
Male,158230,59272,37.5,63137,39.9,23804,15,11239,7.1,744,0.5,34
Female,154357,57108,37,55594,36,24190,15.7,16888,10.9,542,0.4,35
MWATATE,76078,28635,37.6,27675,36.4,12851,16.9,6765,8.9,143,0.2,9
Male,38672,14632,37.8,14867,38.4,6443,16.7,2638,6.8,87,0.2,5
Female,37404,14002,37.4,12808,34.2,6408,17.1,4126,11,56,0.1,4
TAITA,52345,19302,36.9,22153,42.3,6632,12.7,4059,7.8,197,0.4,2
Male,26495,9800,37,11852,44.7,3242,12.2,1503,5.7,98,0.4,-
Female,25850,9502,36.8,10301,39.8,3390,13.1,2556,9.9,99,0.4,2
TAVETA,82789,31879,38.5,25884,31.3,15410,18.6,9009,10.9,585,0.7,22
Male,42548,16342,38.4,13891,32.6,7929,18.6,4016,9.4,361,0.8,9
Female,40241,15537,38.6,11993,29.8,7481,18.6,4993,12.4,224,0.6,13
VOI,101381,36565,36.1,43019,42.4,13105,12.9,8295,8.2,361,0.4,36
Male,50515,18498,36.6,22527,44.6,6190,12.3,3082,6.1,198,0.4,20
Female,50862,18067,35.5,20492,40.3,6911,13.6,5213,10.2,163,0.3,16
GARISSA,778006,132990,17.1,23144,3,9508,1.2,584730,75.2,27479,3.5,155
Male,425411,77489,18.2,15400,3.6,5309,1.2,311556,73.2,15564,3.7,93
Female,352563,55497,15.7,7744,2.2,4198,1.2,273149,77.5,11913,3.4,62
BALAMBALA,30885,2740,8.9,653,2.1,142,0.5,26934,87.2,416,1.3,-
Male,19392,1692,8.7,585,3,114,0.6,16721,86.2,280,1.4,-
Female,11492,1048,9.1,68,0.6,28,0.2,10212,88.9,136,1.2,-
DADAAB,171529,20883,12.2,3254,1.9,1479,0.9,138363,80.7,7491,4.4,59
Male,91581,12354,13.5,2330,2.5,812,0.9,71639,78.2,4404,4.8,42
Female,79942,8529,10.7,924,1.2,667,0.8,66718,83.5,3087,3.9,17
FAFI,123861,15237,12.3,2351,1.9,1334,1.1,102021,82.4,2895,2.3,23
Male,67143,8847,13.2,1570,2.3,756,1.1,54524,81.2,1432,2.1,14
Female,56708,6389,11.3,781,1.4,577,1,47489,83.7,1463,2.6,9
GARISSA,148891,40562,27.2,12093,8.1,4244,2.9,86046,57.8,5898,4,48
Male,75234,22526,29.9,7644,10.2,2271,3,39777,52.9,2994,4,22
Female,73652,18033,24.5,4449,6,1973,2.7,46268,62.8,2903,3.9,26
HULUGHO,124947,19993,16,1347,1.1,1038,0.8,99237,79.4,3324,2.7,8
Male,73417,12290,16.7,910,1.2,598,0.8,57522,78.3,2092,2.8,5
Female,51525,7703,15,437,0.8,440,0.9,41710,81,1232,2.4,3
IJARA,131571,28963,22,3063,2.3,1029,0.8,91781,69.8,6718,5.1,17
Male,75484,17366,23,2113,2.8,615,0.8,51387,68.1,3993,5.3,10
Female,56083,11597,20.7,950,1.7,414,0.7,40391,72,2724,4.9,7
LAGDERA,46322,4612,10,383,0.8,242,0.5,40348,87.1,737,1.6,-
Male,23160,2414,10.4,248,1.1,143,0.6,19986,86.3,369,1.6,-
Female,23161,2198,9.5,135,0.6,99,0.4,20361,87.9,368,1.6,-
WAJIR,711571,132611,18.6,13792,1.9,5489,0.8,549406,77.2,10209,1.4,64
Male,379557,75637,19.9,9423,2.5,3224,0.8,285684,75.3,5548,1.5,41
Female,331969,56970,17.2,4369,1.3,2265,0.7,263682,79.4,4660,1.4,23
BUNA,44083,6081,13.8,478,1.1,179,0.4,36483,82.8,862,2,-
Male,23847,3410,14.3,320,1.3,113,0.5,19535,81.9,469,2,-
Female,20234,2671,13.2,158,0.8,66,0.3,16946,83.8,393,1.9,-
ELDAS,82187,14237,17.3,851,1,450,0.5,65185,79.3,1464,1.8,-
Male,41866,7706,18.4,532,1.3,239,0.6,32637,78,752,1.8,-
Female,40314,6531,16.2,319,0.8,211,0.5,32541,80.7,712,1.8,-
HABASWEIN,158790,35144,22.1,3024,1.9,1340,0.8,118608,74.7,650,0.4,24
Male,86244,20991,24.3,2111,2.4,748,0.9,62022,71.9,360,0.4,12
Female,72531,14153,19.5,913,1.3,592,0.8,56572,78,289,0.4,12
TARBAJ,50653,6525,12.9,424,0.8,271,0.5,43113,85.1,320,0.6,-
Male,24262,3311,13.6,303,1.2,135,0.6,20353,83.9,160,0.7,-
Female,26386,3213,12.2,121,0.5,136,0.5,22756,86.2,160,0.6,-
WAJIR EAST,101247,25940,25.6,5590,5.5,1791,1.8,65460,64.7,2439,2.4,27
Male,54136,14536,26.9,3748,6.9,1075,2,33462,61.8,1293,2.4,22
Female,47109,11403,24.2,1842,3.9,716,1.5,31997,67.9,1146,2.4,5
WAJIR NORTH,55799,9690,17.4,827,1.5,354,0.6,43773,78.4,1155,2.1,-
Male,28905,5301,18.3,576,2,227,0.8,22201,76.8,600,2.1,-
Female,26888,4389,16.3,251,0.9,127,0.5,21566,80.2,555,2.1,-
WAJIR SOUTH,107634,15891,14.8,1313,1.2,557,0.5,88448,82.2,1412,1.3,13
Male,60030,9675,16.1,922,1.5,346,0.6,48347,80.5,733,1.2,7
Female,47602,6215,13.1,391,0.8,211,0.4,40100,84.2,679,1.4,6
WAJIR WEST,111178,19103,17.2,1285,1.2,547,0.5,88336,79.5,1907,1.7,-
Male,60267,10707,17.8,911,1.5,341,0.6,47127,78.2,1181,2,-
Female,50905,8395,16.5,374,0.7,206,0.4,41204,80.9,726,1.4,-
MANDERA,775085,168647,21.8,21483,2.8,7222,0.9,555819,71.7,21776,2.8,138
Male,391182,90664,23.2,14204,3.6,4118,1.1,271252,69.3,10871,2.8,73
Female,383873,77980,20.3,7279,1.9,3104,0.8,284543,74.1,10902,2.8,65
MANDERA WEST,86713,22717,26.2,1501,1.7,596,0.7,60134,69.3,1761,2,4
Male,42666,11917,27.9,1001,2.3,364,0.9,28586,67,796,1.9,2
Female,44045,10800,24.5,500,1.1,232,0.5,31546,71.6,965,2.2,2
BANISA,135664,20564,15.2,1603,1.2,536,0.4,110225,81.2,2735,2,1
Male,70366,11647,16.6,1130,1.6,309,0.4,55978,79.6,1302,1.9,-
Female,65291,8916,13.7,473,0.7,227,0.3,54241,83.1,1433,2.2,1
KOTULO,63722,16578,26,1667,2.6,562,0.9,43739,68.6,1176,1.8,-
Male,31894,8797,27.6,1033,3.2,299,0.9,21127,66.2,638,2,-
Female,31826,7780,24.4,634,2,263,0.8,22611,71,538,1.7,-
LAFEY,74593,12181,16.3,928,1.2,395,0.5,58134,77.9,2954,4,1
Male,36424,6112,16.8,602,1.7,230,0.6,28026,76.9,1453,4,1
Female,38164,6069,15.9,326,0.9,165,0.4,30104,78.9,1500,3.9,-
MANDERA CENTRAL,140725,34878,24.8,3761,2.7,1536,1.1,96339,68.5,4079,2.9,132
Male,64682,16936,26.2,2304,3.6,827,1.3,42601,65.9,1944,3,70
Female,76039,17941,23.6,1457,1.9,709,0.9,53735,70.7,2135,2.8,62
MANDERA EAST,144168,36560,25.4,9290,6.4,2707,1.9,89821,62.3,5790,4,-
Male,75335,20910,27.8,6289,8.3,1545,2.1,43543,57.8,3048,4,-
Female,68829,15650,22.7,3001,4.4,1162,1.7,46275,67.2,2741,4,-
MANDERA NORTH,129500,25169,19.4,2733,2.1,890,0.7,97427,75.2,3281,2.5,-
Male,69815,14345,20.5,1845,2.6,544,0.8,51391,73.6,1690,2.4,-
Female,59679,10824,18.1,888,1.5,346,0.6,46031,77.1,1590,2.7,-
MARSABIT,409629,108132,26.4,25727,6.3,12494,3.1,259725,63.4,3335,0.8,216
Male,215220,55636,25.9,16016,7.4,7160,3.3,134525,62.5,1773,0.8,110
Female,194392,52492,27,9711,5,5334,2.7,125190,64.4,1559,0.8,106
LOIYANGALANI,31574,6673,21.1,964,3.1,634,2,23141,73.3,162,0.5,-
Male,15401,3177,20.6,665,4.3,313,2,11165,72.5,81,0.5,-
Female,16171,3495,21.6,299,1.8,321,2,11975,74.1,81,0.5,-
MARSABIT CENTRAL,71619,27959,39,10705,14.9,4347,6.1,27481,38.4,1127,1.6,-
Male,36892,14078,38.2,6237,16.9,2487,6.7,13490,36.6,600,1.6,-
Female,34716,13879,40,4468,12.9,1860,5.4,13985,40.3,524,1.5,-
MARSABIT NORTH,45650,10319,22.6,1294,2.8,663,1.5,33120,72.6,254,0.6,-
Male,24849,5133,20.7,844,3.4,398,1.6,18336,73.8,138,0.6,-
Female,20800,5186,24.9,450,2.2,265,1.3,14783,71.1,116,0.6,-
MARSABIT SOUTH,59493,11620,19.5,2332,3.9,1036,1.7,44228,74.3,266,0.4,11
Male,30146,5659,18.8,1515,5,522,1.7,22303,74,141,0.5,6
Female,29347,5961,20.3,817,2.8,514,1.8,21925,74.7,125,0.4,5
MOYALE,97766,32258,33,6761,6.9,4004,4.1,54087,55.3,645,0.7,11
Male,50613,17428,34.4,4279,8.5,2311,4.6,26273,51.9,316,0.6,6
Female,47152,14830,31.5,2482,5.3,1693,3.6,27813,59,329,0.7,5
NORTH HORR,62863,6587,10.5,1355,2.2,467,0.7,53912,85.8,354,0.6,188
Male,35980,3481,9.7,975,2.7,335,0.9,30884,85.8,210,0.6,95
Female,26881,3105,11.6,380,1.4,132,0.5,23027,85.7,144,0.5,93
SOLOLO,40664,12716,31.3,2316,5.7,1343,3.3,23756,58.4,527,1.3,6
Male,21339,6680,31.3,1501,7,794,3.7,12074,56.6,287,1.3,3
Female,19325,6036,31.2,815,4.2,549,2.8,11682,60.5,240,1.2,3
ISIOLO,245462,79881,32.5,34817,14.2,14485,5.9,114759,46.8,1483,0.6,37
Male,128141,40960,32,19823,15.5,7599,5.9,58852,45.9,886,0.7,21
Female,117317,38920,33.2,14994,12.8,6886,5.9,55904,47.7,597,0.5,16
GARBATULLA,92227,25147,27.3,6186,6.7,2946,3.2,57317,62.1,619,0.7,12
Male,50808,13233,26,3875,7.6,1721,3.4,31581,62.2,390,0.8,8
Female,41418,11914,28.8,2311,5.6,1225,3,25735,62.1,229,0.6,4
ISIOLO,110631,41522,37.5,25668,23.2,9942,9,32798,29.6,676,0.6,25
Male,55148,21157,38.4,14100,25.6,4967,9,14530,26.3,381,0.7,13
Female,55483,20365,36.7,11568,20.8,4975,9,18268,32.9,295,0.5,12
MERTI,42604,13212,31,2963,7,1597,3.7,24644,57.8,188,0.4,-
Male,22185,6570,29.6,1848,8.3,911,4.1,12741,57.4,115,0.5,-
Female,20416,6641,32.5,1115,5.5,686,3.4,11901,58.3,73,0.4,-
MERU,1436400,554475,38.6,360142,25.1,301441,21,205961,14.3,13999,1,382
Male,711224,277202,39,179720,25.3,153600,21.6,92010,12.9,8488,1.2,204
Female,725139,277259,38.2,180414,24.9,147834,20.4,113943,15.7,5511,0.8,178
BUURI EAST,71784,25158,35,26395,36.8,13320,18.6,6405,8.9,474,0.7,32
Male,35691,12796,35.9,13183,36.9,6793,19,2551,7.1,350,1,18
Female,36093,12362,34.3,13212,36.6,6527,18.1,3854,10.7,124,0.3,14
BUURI WEST,75344,26396,35,28001,37.2,14238,18.9,6250,8.3,451,0.6,8
Male,37726,13326,35.3,14054,37.3,7255,19.2,2784,7.4,304,0.8,3
Female,37616,13070,34.7,13945,37.1,6983,18.6,3466,9.2,147,0.4,5
IGEMBE CENTRAL,204412,84771,41.5,24445,12,50589,24.7,41948,20.5,2617,1.3,42
Male,102059,42142,41.3,12198,12,26267,25.7,19844,19.4,1586,1.6,22
Female,102349,42628,41.6,12247,12,24320,23.8,22103,21.6,1031,1,20
IGEMBE NORTH,156536,66151,42.3,16939,10.8,29927,19.1,41455,26.5,2014,1.3,50
Male,76912,32652,42.5,8458,11,15242,19.8,19353,25.2,1179,1.5,28
Female,79620,33496,42.1,8481,10.7,14685,18.4,22101,27.8,835,1,22
IGEMBE SOUTH,149522,56443,37.7,26006,17.4,37957,25.4,26764,17.9,2296,1.5,56
Male,74030,27641,37.3,12675,17.1,19443,26.3,12779,17.3,1462,2,30
Female,75484,28799,38.2,13331,17.7,18512,24.5,13982,18.5,834,1.1,26
IMENTI NORTH,162829,55511,34.1,70530,43.3,25379,15.6,10294,6.3,1061,0.7,54
Male,80497,27661,34.4,35275,43.8,12726,15.8,4141,5.1,660,0.8,34
Female,82328,27849,33.8,35252,42.8,12653,15.4,6153,7.5,401,0.5,20
IMENTI SOUTH,193742,67801,35,65743,33.9,43429,22.4,15235,7.9,1517,0.8,17
Male,96744,34365,35.5,32750,33.9,22385,23.1,6375,6.6,861,0.9,8
Female,96993,33434,34.5,32992,34,21042,21.7,8860,9.1,656,0.7,9
MERU CENTRAL,125670,44995,35.8,44593,35.5,24179,19.2,11085,8.8,767,0.6,51
Male,62757,22798,36.3,22862,36.4,12397,19.8,4212,6.7,463,0.7,25
Female,62910,22197,35.3,21729,34.5,11781,18.7,6873,10.9,304,0.5,26
TIGANIA CENTRAL,97405,41347,42.4,16145,16.6,23752,24.4,15311,15.7,847,0.9,3
Male,48073,20788,43.2,8154,17,11944,24.8,6693,13.9,492,1,2
Female,49332,20559,41.7,7991,16.2,11808,23.9,8618,17.5,355,0.7,1
TIGANIA EAST,67622,29551,43.7,11368,16.8,11938,17.7,13941,20.6,769,1.1,55
Male,32914,14531,44.1,5713,17.4,5873,17.8,6350,19.3,418,1.3,29
Female,34705,15018,43.3,5655,16.3,6065,17.5,7590,21.9,351,1,26
TIGANIA WEST,130798,56289,43,29571,22.6,26565,20.3,17173,13.1,1186,0.9,14
Male,63209,28468,45,14059,22.2,13125,20.8,6839,10.8,713,1.1,5
Female,67585,27819,41.2,15512,23,13440,19.9,10332,15.3,473,0.7,9
MERU NATIONAL PARK,294,44,15,229,77.9,6,2,15,5.1,-,-,-
Male,219,21,9.6,184,84,5,2.3,9,4.1,-,-,-
Female,75,23,30.7,45,60,1,1.3,6,8,-,-,-
MT. KENYA FOREST,442,18,4.1,177,40,162,36.7,85,19.2,-,-,-
Male,393,13,3.3,155,39.4,145,36.9,80,20.4,-,-,-
Female,49,5,10.2,22,44.9,17,34.7,5,10.2,-,-,-
THARAKA-NITHI,367574,144933,39.4,96834,26.3,82897,22.6,39296,10.7,3543,1,71
Male,180692,73509,40.7,48177,26.7,40913,22.6,16089,8.9,1966,1.1,38
Female,186875,71422,38.2,48655,26,41983,22.5,23205,12.4,1577,0.8,33
IGAMBANG'OMBE,49368,20369,41.3,9492,19.2,13284,26.9,5664,11.5,544,1.1,15
Male,24367,10393,42.7,4749,19.5,6639,27.2,2257,9.3,320,1.3,9
Female,25000,9976,39.9,4743,19,6644,26.6,3407,13.6,224,0.9,6
MAARA,108517,37866,34.9,36716,33.8,25656,23.6,7384,6.8,882,0.8,13
Male,54491,19356,35.5,18647,34.2,12805,23.5,3192,5.9,485,0.9,6
Female,54026,18510,34.3,18069,33.4,12851,23.8,4192,7.8,397,0.7,7
MERU SOUTH,85236,30872,36.2,29636,34.8,18458,21.7,5550,6.5,699,0.8,21
Male,41988,15688,37.4,14662,34.9,9028,21.5,2180,5.2,420,1,10
Female,43246,15183,35.1,14973,34.6,9430,21.8,3370,7.8,279,0.6,11
THARAKA NORTH,54321,23967,44.1,7847,14.4,10367,19.1,10996,20.2,1127,2.1,17
Male,26290,12019,45.7,3891,14.8,5124,19.5,4679,17.8,567,2.2,10
Female,28029,11947,42.6,3956,14.1,5243,18.7,6316,22.5,560,2,7
THARAKA SOUTH,69972,31795,45.4,13065,18.7,15120,21.6,9696,13.9,291,0.4,5
Male,33482,16040,47.9,6177,18.4,7310,21.8,3778,11.3,174,0.5,3
Female,36488,15755,43.2,6887,18.9,7810,21.4,5917,16.2,117,0.3,2
MT. KENYA FOREST,160,64,40,78,48.8,12,7.5,6,3.8,-,-,-
Male,74,13,17.6,51,68.9,7,9.5,3,4.1,-,-,-
Female,86,51,59.3,27,31.4,5,5.8,3,3.5,-,-,-
EMBU,568228,205389,36.1,180500,31.8,131329,23.1,48555,8.5,2404,0.4,51
Male,283024,104132,36.8,90744,32.1,67774,23.9,18822,6.7,1530,0.5,22
Female,285182,101251,35.5,89746,31.5,63552,22.3,29730,10.4,874,0.3,29
EMBU EAST,122079,41231,33.8,38387,31.4,31506,25.8,10483,8.6,469,0.4,3
Male,60807,20990,34.5,19236,31.6,16193,26.6,4112,6.8,275,0.5,1
Female,61270,20240,33,19150,31.3,15313,25,6371,10.4,194,0.3,2
EMBU NORTH,75194,25255,33.6,24666,32.8,18336,24.4,6717,8.9,216,0.3,4
