County/ Sub-County,Total NO,At School/ Learning Institution Number,At School/ Learning Institution per cent,"Left School/ Learning Institution
Female,56041,25645,45.8,10459,18.7,12854,22.9,6888,12.3,189,0.3,6
LIKUYANI,141338,68899,48.7,29353,20.8,27918,19.8,13156,9.3,1998,1.4,14
Male,68337,34856,51,14191,20.8,12400,18.1,5802,8.5,1078,1.6,10
Female,72998,34041,46.6,15162,20.8,15518,21.3,7353,10.1,920,1.3,4
LUGARI,114040,55233,48.4,26842,23.5,21670,19,9706,8.5,582,0.5,7
Male,54848,27808,50.7,12921,23.6,9582,17.5,4235,7.7,299,0.5,3
Female,59192,27425,46.3,13921,23.5,12088,20.4,5471,9.2,283,0.5,4
MATETE,61383,31089,50.6,11045,18,11666,19,6512,10.6,1071,1.7,-
Male,29404,15709,53.4,5367,18.3,4982,16.9,2818,9.6,528,1.8,-
Female,31979,15380,48.1,5678,17.8,6684,20.9,3694,11.6,543,1.7,-
MATUNGU,154460,78781,51,19787,12.8,31220,20.2,23262,15.1,1389,0.9,21
Male,72733,39392,54.2,9561,13.1,13682,18.8,9366,12.9,721,1,11
Female,81724,39387,48.2,10226,12.5,17537,21.5,13896,17,668,0.8,10
MUMIAS EAST,108468,55214,50.9,16979,15.7,23567,21.7,12120,11.2,583,0.5,5
Male,51751,27824,53.8,8293,16,10485,20.3,4842,9.4,305,0.6,2
Female,56714,27388,48.3,8685,15.3,13082,23.1,7278,12.8,278,0.5,3
MUMIAS WEST,106473,53145,49.9,20060,18.8,20588,19.3,12011,11.3,642,0.6,27
Male,50529,26655,52.8,9728,19.3,9088,18,4688,9.3,359,0.7,11
Female,55943,26490,47.4,10332,18.5,11499,20.6,7323,13.1,283,0.5,16
NAVAKHOLO,142792,74680,52.3,21105,14.8,30265,21.2,16061,11.2,659,0.5,22
Male,67650,37482,55.4,10238,15.1,12904,19.1,6692,9.9,326,0.5,8
Female,75135,37195,49.5,10866,14.5,17359,23.1,9368,12.5,333,0.4,14
VIHIGA,550070,257982,46.9,128847,23.4,115345,21,44178,8,3623,0.7,95
Male,263949,129422,49,61789,23.4,52189,19.8,18682,7.1,1815,0.7,52
Female,286112,128556,44.9,67055,23.4,63154,22.1,25496,8.9,1808,0.6,43
EMUHAYA,90814,42853,47.2,18377,20.2,20425,22.5,8487,9.3,654,0.7,18
Male,43383,21470,49.5,8563,19.7,9363,21.6,3648,8.4,329,0.8,10
Female,47430,21383,45.1,9813,20.7,11062,23.3,4839,10.2,325,0.7,8
VIHIGA,88664,41104,46.4,23313,26.3,17596,19.8,5965,6.7,660,0.7,26
Male,42455,20629,48.6,11222,26.4,7701,18.1,2570,6.1,316,0.7,17
Female,46207,20475,44.3,12089,26.2,9895,21.4,3395,7.3,344,0.7,9
SABATIA,122708,57435,46.8,32383,26.4,24106,19.6,7839,6.4,930,0.8,15
Male,58591,28652,48.9,15571,26.6,10669,18.2,3224,5.5,469,0.8,6
Female,64116,28782,44.9,16812,26.2,13437,21,4615,7.2,461,0.7,9
LUANDA,98821,45308,45.8,24126,24.4,20405,20.6,8330,8.4,625,0.6,27
Male,47692,22740,47.7,11725,24.6,9371,19.6,3522,7.4,320,0.7,14
Female,51127,22568,44.1,12401,24.3,11032,21.6,4808,9.4,305,0.6,13
HAMISI,149047,71281,47.8,30634,20.6,32812,22,13557,9.1,754,0.5,9
Male,71816,35931,50,14696,20.5,15085,21,5718,8,381,0.5,5
Female,77228,35347,45.8,15938,20.6,17727,23,7839,10.2,373,0.5,4
KAKAMEGA FOREST,16,1,6.3,14,87.5,1,6.3,-,-,-,-,-
Male,12,-,-,12,100,-,-,-,-,-,-,-
Female,4,1,25,2,50,1,25,-,-,-,-,-
BUNGOMA,1538767,782677,50.9,264282,17.2,324058,21.1,151938,9.9,15673,1,139
Male,745883,396144,53.1,133462,17.9,140682,18.9,67323,9,8198,1.1,74
Female,792851,386512,48.7,130817,16.5,183372,23.1,84612,10.7,7473,0.9,65
BUMULA,199499,102696,51.5,23670,11.9,45969,23,24883,12.5,2279,1.1,2
Male,95312,51685,54.2,11881,12.5,19870,20.8,10710,11.2,1164,1.2,2
Female,104186,51010,49,11789,11.3,26099,25.1,14173,13.6,1115,1.1,-
BUNGOMA CENTRAL,163799,83204,50.8,29747,18.2,35007,21.4,14301,8.7,1536,0.9,4
Male,79315,41882,52.8,15216,19.2,14990,18.9,6429,8.1,795,1,3
Female,84477,41319,48.9,14529,17.2,20017,23.7,7871,9.3,740,0.9,1
BUNGOMA EAST,106122,54673,51.5,20946,19.7,22353,21.1,7292,6.9,836,0.8,22
Male,51497,27756,53.9,10382,20.2,9670,18.8,3211,6.2,467,0.9,11
Female,54623,26916,49.3,10564,19.3,12682,23.2,4081,7.5,369,0.7,11
BUNGOMA NORTH,111891,58637,52.4,21859,19.5,22370,20,8342,7.5,670,0.6,13
Male,54098,29768,55,10753,19.9,9422,17.4,3780,7,368,0.7,7
Female,57792,28868,50,11106,19.2,12948,22.4,4562,7.9,302,0.5,6
BUNGOMA SOUTH,263411,127072,48.2,58794,22.3,46617,17.7,27947,10.6,2967,1.1,14
Male,126979,63234,49.8,29269,23.1,20605,16.2,12377,9.7,1489,1.2,5
Female,136427,63836,46.8,29524,21.6,26011,19.1,15569,11.4,1478,1.1,9
CHEPTAIS,124273,64726,52.1,13085,10.5,29321,23.6,15042,12.1,2080,1.7,19
Male,61904,33517,54.1,7274,11.8,13138,21.2,6852,11.1,1109,1.8,14
Female,62363,31205,50,5811,9.3,16182,25.9,8190,13.1,970,1.6,5
KIMILILI,149814,74973,50,26056,17.4,30550,20.4,16170,10.8,2060,1.4,5
Male,72387,37873,52.3,12952,17.9,13137,18.1,7363,10.2,1060,1.5,2
Female,77424,37097,47.9,13104,16.9,17413,22.5,8807,11.4,1000,1.3,3
MT. ELGON,72721,38081,52.4,10298,14.2,16086,22.1,7969,11,282,0.4,5
Male,35916,19547,54.4,5541,15.4,7256,20.2,3403,9.5,166,0.5,3
Female,36802,18532,50.4,4757,12.9,8829,24,4566,12.4,116,0.3,2
BUNGOMA WEST,110636,56958,51.5,15814,14.3,25555,23.1,11050,10,1228,1.1,31
Male,53608,28777,53.7,8210,15.3,11202,20.9,4766,8.9,639,1.2,14
Female,57027,28180,49.4,7604,13.3,14353,25.2,6284,11,589,1,17
TONGAREN,92891,47790,51.4,17707,19.1,18403,19.8,8577,9.2,398,0.4,16
Male,44960,24466,54.4,8646,19.2,7817,17.4,3800,8.5,223,0.5,8
Female,47930,23323,48.7,9061,18.9,10586,22.1,4777,10,175,0.4,8
WEBUYE WEST,140446,72319,51.5,26144,18.6,30935,22,9717,6.9,1323,0.9,8
Male,68209,36806,54,13251,19.4,13100,19.2,4337,6.4,710,1,5
Female,72234,35511,49.2,12893,17.8,17835,24.7,5379,7.4,613,0.8,3
MT. ELGON FOREST,3264,1548,47.4,162,5,892,27.3,648,19.9,14,0.4,-
Male,1698,833,49.1,87,5.1,475,28,295,17.4,8,0.5,-
Female,1566,715,45.7,75,4.8,417,26.6,353,22.5,6,0.4,-
BUSIA,820788,405072,49.4,136790,16.7,170347,20.8,102993,12.5,5512,0.7,74
Male,388748,202993,52.2,70030,18,73630,18.9,39069,10,2991,0.8,35
Female,432013,202061,46.8,66760,15.5,96713,22.4,63919,14.8,2521,0.6,39
BUNYALA,79588,38459,48.3,12582,15.8,18852,23.7,8892,11.2,797,1,6
Male,38196,19533,51.1,6901,18.1,8366,21.9,2952,7.7,441,1.2,3
Female,41391,18926,45.7,5681,13.7,10485,25.3,5940,14.4,356,0.9,3
BUSIA,128002,60486,47.3,25528,19.9,25909,20.2,15031,11.7,1010,0.8,38
Male,60908,30010,49.3,13115,21.5,11384,18.7,5829,9.6,550,0.9,20
Female,67093,30475,45.4,12413,18.5,14525,21.6,9202,13.7,460,0.7,18
BUTULA,129739,65364,50.4,19817,15.3,23655,18.2,20108,15.5,792,0.6,3
Male,59856,32668,54.6,9489,15.9,9782,16.3,7512,12.6,403,0.7,2
Female,69880,32695,46.8,10328,14.8,13872,19.9,12595,18,389,0.6,1
NAMBALE,103180,52698,51.1,16456,15.9,20627,20,12421,12,969,0.9,9
Male,48653,26187,53.8,8113,16.7,8869,18.2,4964,10.2,517,1.1,3
Female,54523,26509,48.6,8343,15.3,11757,21.6,7456,13.7,452,0.8,6
SAMIA,99108,48054,48.5,15902,16,21443,21.6,13405,13.5,304,0.3,-
Male,46819,24303,51.9,8394,17.9,9116,19.5,4817,10.3,189,0.4,-
Female,52275,23739,45.4,7508,14.4,12327,23.6,8586,16.4,115,0.2,-
TESO NORTH,126387,63423,50.2,21859,17.3,28497,22.5,12061,9.5,543,0.4,4
Male,60543,31916,52.7,11242,18.6,12290,20.3,4785,7.9,308,0.5,2
Female,65842,31506,47.9,10617,16.1,16207,24.6,7275,11,235,0.4,2
TESO SOUTH,154784,76588,49.5,24646,15.9,31364,20.3,21075,13.6,1097,0.7,14
Male,73773,38376,52,12776,17.3,13823,18.7,8210,11.1,583,0.8,5
Female,81009,38211,47.2,11870,14.7,17540,21.7,12865,15.9,514,0.6,9
SIAYA,919461,441450,48,198100,21.5,184768,20.1,86173,9.4,8648,0.9,322
Male,434630,223195,51.4,97782,22.5,78383,18,30230,7,4877,1.1,163
Female,484814,218250,45,100315,20.7,106377,21.9,55942,11.5,3771,0.8,159
SIAYA,207196,97831,47.2,43168,20.8,41994,20.3,22128,10.7,1965,0.9,110
Male,97050,49139,50.6,21121,21.8,18085,18.6,7523,7.8,1125,1.2,57
Female,110142,48691,44.2,22046,20,23907,21.7,14605,13.3,840,0.8,53
GEM,166766,79914,47.9,34624,20.8,35779,21.5,14980,9,1398,0.8,71
Male,79237,40606,51.2,17056,21.5,15532,19.6,5267,6.6,739,0.9,37
Female,87525,39306,44.9,17567,20.1,20247,23.1,9712,11.1,659,0.8,34
UGENYA,125274,60785,48.5,23705,18.9,24012,19.2,15875,12.7,886,0.7,11
Male,58138,31007,53.3,11369,19.6,9911,17,5314,9.1,530,0.9,7
Female,67132,29777,44.4,12335,18.4,14099,21,10561,15.7,356,0.5,4
UGUNJA,96903,46310,47.8,21591,22.3,18182,18.8,10037,10.4,776,0.8,7
Male,45246,23305,51.5,10587,23.4,7495,16.6,3440,7.6,415,0.9,4
Female,51657,23005,44.5,11004,21.3,10687,20.7,6597,12.8,361,0.7,3
BONDO,181834,86934,47.8,44207,24.3,36522,20.1,12223,6.7,1887,1,61
Male,87903,43785,49.8,22216,25.3,15868,18.1,4844,5.5,1160,1.3,30
Female,93928,43148,45.9,21991,23.4,20652,22,7379,7.9,727,0.8,31
RARIEDA,141488,69676,49.2,30805,21.8,28279,20,10930,7.7,1736,1.2,62
Male,67056,35353,52.7,15433,23,11492,17.1,3842,5.7,908,1.4,28
Female,74430,34323,46.1,15372,20.7,16785,22.6,7088,9.5,828,1.1,34
KISUMU,1061224,504812,47.6,284283,26.8,188709,17.8,75998,7.2,7121,0.7,301
Male,511739,253600,49.6,144815,28.3,80326,15.7,29019,5.7,3831,0.7,148
Female,549465,251209,45.7,139457,25.4,108379,19.7,46977,8.5,3290,0.6,153
KISUMU EAST,202479,89998,44.4,64182,31.7,35745,17.7,11405,5.6,1080,0.5,69
Male,99157,44568,44.9,33362,33.6,15767,15.9,4820,4.9,611,0.6,29
Female,103318,45429,44,30818,29.8,19977,19.3,6585,6.4,469,0.5,40
KISUMU CENTRAL,158191,68344,43.2,61681,39,21121,13.4,5880,3.7,1105,0.7,60
Male,75722,32743,43.2,30767,40.6,8988,11.9,2584,3.4,611,0.8,29
Female,82465,35601,43.2,30911,37.5,12132,14.7,3296,4,494,0.6,31
KISUMU WEST,157473,75229,47.8,42160,26.8,28200,17.9,10912,6.9,932,0.6,40
Male,76922,38152,49.6,21797,28.3,12172,15.8,4255,5.5,525,0.7,21
Female,80548,37077,46,20361,25.3,16027,19.9,6657,8.3,407,0.5,19
SEME,112594,56390,50.1,23769,21.1,20862,18.5,11084,9.8,477,0.4,12
Male,53097,28762,54.2,11729,22.1,8430,15.9,3904,7.4,266,0.5,6
Female,59495,27628,46.4,12039,20.2,12432,20.9,7179,12.1,211,0.4,6
MUHORONI,141120,68825,48.8,28826,20.4,29536,20.9,12651,9,1251,0.9,31
Male,69743,35108,50.3,15374,22,13517,19.4,5054,7.2,672,1,18
Female,71376,33716,47.2,13452,18.8,16019,22.4,7597,10.6,579,0.8,13
NYANDO,149436,73976,49.5,34433,23,27043,18.1,12561,8.4,1381,0.9,42
Male,71048,37454,52.7,17294,24.3,11030,15.5,4526,6.4,723,1,21
Female,78383,36521,46.6,17136,21.9,16013,20.4,8034,10.2,658,0.8,21
NYAKACH,139931,72050,51.5,29232,20.9,26202,18.7,11505,8.2,895,0.6,47
Male,66050,36813,55.7,14492,21.9,10422,15.8,3876,5.9,423,0.6,24
Female,73880,35237,47.7,14740,20,15779,21.4,7629,10.3,472,0.6,23
HOMA BAY,1037468,539753,52,196288,18.9,200313,19.3,94406,9.1,6627,0.6,81
Male,491680,274952,55.9,98363,20,79996,16.3,34878,7.1,3451,0.7,40
Female,545768,264796,48.5,97920,17.9,120311,22,59526,10.9,3174,0.6,41
HOMA BAY,106961,54222,50.7,26496,24.8,17746,16.6,7718,7.2,767,0.7,12
Male,50299,27015,53.7,13192,26.2,6818,13.6,2857,5.7,411,0.8,6
Female,56661,27207,48,13303,23.5,10928,19.3,4861,8.6,356,0.6,6
NDHIWA,198409,105309,53.1,28387,14.3,43093,21.7,20505,10.3,1103,0.6,12
Male,93863,53904,57.4,14641,15.6,17114,18.2,7627,8.1,571,0.6,6
Female,104539,51403,49.2,13745,13.1,25977,24.8,12877,12.3,531,0.5,6
RACHUONYO NORTH,165147,84682,51.3,32958,20,32781,19.8,13878,8.4,829,0.5,19
Male,78464,43300,55.2,16599,21.2,13138,16.7,4949,6.3,468,0.6,10
Female,86679,41382,47.7,16359,18.9,19640,22.7,8928,10.3,361,0.4,9
RACHUONYO EAST,112267,60292,53.7,20594,18.3,21293,19,9434,8.4,652,0.6,2
Male,52912,30901,58.4,10085,19.1,8337,15.8,3260,6.2,328,0.6,1
Female,59353,29390,49.5,10508,17.7,12956,21.8,6174,10.4,324,0.5,1
RACHUONYO SOUTH,120330,63280,52.6,26103,21.7,21508,17.9,8804,7.3,633,0.5,2
Male,56383,31952,56.7,12557,22.3,8379,14.9,3160,5.6,334,0.6,1
Female,63947,31328,49,13546,21.2,13129,20.5,5644,8.8,299,0.5,1
RANGWE,108345,57746,53.3,17420,16.1,20795,19.2,10835,10,1535,1.4,14
Male,50653,29547,58.3,8345,16.5,8132,16.1,3862,7.6,762,1.5,5
Female,57689,28197,48.9,9075,15.7,12663,22,6973,12.1,772,1.3,9
SUBA NORTH,114461,56957,49.8,24214,21.2,22750,19.9,9855,8.6,680,0.6,5
Male,55323,28966,52.4,12562,22.7,9559,17.3,3871,7,362,0.7,3
Female,59137,27991,47.3,11652,19.7,13190,22.3,5984,10.1,318,0.5,2
SUBA SOUTH,111548,57265,51.3,20116,18,20347,18.2,13377,12,428,0.4,15
Male,53783,29367,54.6,10382,19.3,8519,15.8,5292,9.8,215,0.4,8
Female,57763,27898,48.3,9732,16.8,11828,20.5,8085,14,213,0.4,7
MIGORI,1016399,522757,51.4,171900,16.9,197075,19.4,114682,11.3,9774,1,211
Male,486357,265417,54.6,88443,18.2,81365,16.7,46115,9.5,4923,1,94
Female,530012,257326,48.6,83455,15.7,115706,21.8,68559,12.9,4849,0.9,117
AWENDO,107090,56849,53.1,20331,19,22396,20.9,6982,6.5,503,0.5,29
Male,51345,29012,56.5,10532,20.5,8958,17.4,2527,4.9,303,0.6,13
Female,55743,27836,49.9,9799,17.6,13437,24.1,4455,8,200,0.4,16
KURIA EAST,88045,44090,50.1,10775,12.2,13316,15.1,18969,21.5,866,1,29
Male,42653,22712,53.2,5604,13.1,5847,13.7,8045,18.9,434,1,11
Female,45385,21375,47.1,5171,11.4,7469,16.5,10920,24.1,432,1,18
KURIA WEST,189956,94801,49.9,27897,14.7,34109,18,31689,16.7,1416,0.7,44
Male,92003,47912,52.1,14757,16,15094,16.4,13498,14.7,727,0.8,15
Female,97947,46886,47.9,13140,13.4,19015,19.4,18188,18.6,689,0.7,29
NYATIKE,159883,81986,51.3,25426,15.9,34550,21.6,15550,9.7,2344,1.5,27
Male,75746,41715,55.1,13232,17.5,13854,18.3,5785,7.6,1145,1.5,15
Female,84130,40267,47.9,12194,14.5,20694,24.6,9764,11.6,1199,1.4,12
RONGO,114373,60225,52.7,22865,20,20964,18.3,9381,8.2,928,0.8,10
Male,54154,30467,56.3,11382,21,8361,15.4,3517,6.5,425,0.8,2
Female,60218,29757,49.4,11483,19.1,12603,20.9,5864,9.7,503,0.8,8
SUNA EAST,111811,57149,51.1,23262,20.8,21617,19.3,8475,7.6,1276,1.1,32
Male,53380,28762,53.9,11809,22.1,8815,16.5,3330,6.2,646,1.2,18
Female,58428,28385,48.6,11452,19.6,12802,21.9,5145,8.8,630,1.1,14
SUNA WEST,115745,58786,50.8,19815,17.1,22302,19.3,13764,11.9,1073,0.9,5
Male,54921,29543,53.8,10068,18.3,9148,16.7,5625,10.2,534,1,3
Female,60823,29243,48.1,9747,16,13153,21.6,8139,13.4,539,0.9,2
URIRI,129496,68871,53.2,21529,16.6,27821,21.5,9872,7.6,1368,1.1,35
Male,62155,35294,56.8,11059,17.8,11288,18.2,3788,6.1,709,1.1,17
Female,67338,33577,49.9,10469,15.5,16533,24.6,6084,9,657,1,18
KISII,1179067,557477,47.3,250730,21.3,248244,21.1,116381,9.9,6092,0.5,143
Male,561241,282802,50.4,127184,22.7,104190,18.6,43902,7.8,3097,0.6,66
Female,617793,274662,44.5,123540,20,144048,23.3,72471,11.7,2995,0.5,77
ETAGO,78104,39960,51.2,10675,13.7,17546,22.5,9692,12.4,226,0.3,5
Male,37316,20355,54.5,5645,15.1,7401,19.8,3794,10.2,119,0.3,2
Female,40785,19604,48.1,5030,12.3,10144,24.9,5897,14.5,107,0.3,3
GUCHA,77635,37772,48.7,15315,19.7,16278,21,7445,9.6,803,1,22
Male,36552,19109,52.3,7576,20.7,6657,18.2,2762,7.6,438,1.2,10
Female,41082,18663,45.4,7739,18.8,9621,23.4,4682,11.4,365,0.9,12
GUCHA SOUTH,77984,38156,48.9,13482,17.3,16839,21.6,8882,11.4,592,0.8,33
Male,37202,19473,52.3,6840,18.4,7187,19.3,3402,9.1,282,0.8,18
Female,40779,18682,45.8,6640,16.3,9652,23.7,5480,13.4,310,0.8,15
KENYENYA,122925,59619,48.5,23835,19.4,26141,21.3,12676,10.3,644,0.5,10
Male,58489,30262,51.7,12242,20.9,10806,18.5,4857,8.3,317,0.5,5
Female,64434,29356,45.6,11593,18,15335,23.8,7818,12.1,327,0.5,5
KISII CENTRAL,153169,68085,44.5,44068,28.8,28889,18.9,11388,7.4,729,0.5,10
Male,73940,34485,46.6,22437,30.3,12255,16.6,4398,5.9,361,0.5,4
Female,79226,33599,42.4,21631,27.3,16633,21,6989,8.8,368,0.5,6
KISII SOUTH,126037,59783,47.4,25134,19.9,25518,20.2,15172,12,428,0.3,2
Male,59998,30077,50.1,12660,21.1,11245,18.7,5786,9.6,228,0.4,2
Female,66034,29702,45,12473,18.9,14273,21.6,9386,14.2,200,0.3,-
KITUTU CENTRAL,143117,64027,44.7,38458,26.9,28928,20.2,11008,7.7,672,0.5,24
Male,68958,32137,46.6,19362,28.1,12897,18.7,4176,6.1,374,0.5,12
Female,74154,31889,43,19094,25.7,16029,21.6,6832,9.2,298,0.4,12
MARANI,100436,47285,47.1,17949,17.9,23329,23.2,11487,11.4,366,0.4,20
Male,47090,24220,51.4,9037,19.2,9418,20,4216,9,191,0.4,8
Female,53345,23064,43.2,8912,16.7,13911,26.1,7271,13.6,175,0.3,12
MASABA SOUTH,114613,54102,47.2,25882,22.6,24544,21.4,9293,8.1,786,0.7,6
Male,54167,27657,51.1,13042,24.1,9799,18.1,3303,6.1,363,0.7,3
Female,60442,26444,43.8,12840,21.2,14743,24.4,5989,9.9,423,0.7,3
NYAMACHE,122459,58975,48.2,23761,19.4,26245,21.4,12907,10.5,562,0.5,9
Male,57910,30113,52,12098,20.9,10699,18.5,4722,8.2,277,0.5,1
Female,64547,28862,44.7,11662,18.1,15546,24.1,8184,12.7,285,0.4,8
SAMETA,62588,29713,47.5,12171,19.4,13987,22.3,6431,10.3,284,0.5,2
Male,29619,14914,50.4,6245,21.1,5826,19.7,2486,8.4,147,0.5,1
Female,32965,14797,44.9,5926,18,8161,24.8,3943,12,137,0.4,1
NYAMIRA,566741,260426,46,129917,22.9,111433,19.7,61480,10.8,3431,0.6,54
Male,271344,132577,48.9,65482,24.1,47174,17.4,24389,9,1701,0.6,21
Female,295385,127840,43.3,64433,21.8,64258,21.8,37091,12.6,1730,0.6,33
BORABU,68779,30834,44.8,18623,27.1,12272,17.8,6531,9.5,512,0.7,7
Male,34446,15988,46.4,9755,28.3,5570,16.2,2892,8.4,239,0.7,2
Female,34333,14846,43.2,8868,25.8,6702,19.5,3639,10.6,273,0.8,5
MANGA,88406,40147,45.4,22106,25,14960,16.9,10811,12.2,369,0.4,13
Male,41976,20317,48.4,11017,26.2,6195,14.8,4275,10.2,167,0.4,5
Female,46428,19828,42.7,11089,23.9,8765,18.9,6536,14.1,202,0.4,8
MASABA NORTH,104344,47656,45.7,24917,23.9,19783,19,11634,11.1,347,0.3,7
Male,49088,24105,49.1,12472,25.4,7958,16.2,4382,8.9,168,0.3,3
Female,55254,23550,42.6,12444,22.5,11825,21.4,7252,13.1,179,0.3,4
NYAMIRA NORTH,156770,73889,47.1,31253,19.9,32674,20.8,17828,11.4,1123,0.7,3
Male,75072,37652,50.2,15699,20.9,14010,18.7,7134,9.5,575,0.8,2
Female,81693,36233,44.4,15554,19,18663,22.8,10694,13.1,548,0.7,1
NYAMIRA SOUTH,148442,67900,45.7,33018,22.2,31744,21.4,14676,9.9,1080,0.7,24
Male,70762,34515,48.8,16539,23.4,13441,19,5706,8.1,552,0.8,9
Female,77677,33383,43,16478,21.2,18303,23.6,8970,11.5,528,0.7,15
NAIROBI CITY,4010447,1358304,33.9,1921640,47.9,505807,12.6,187364,4.7,35729,0.9,1603
Male,1986852,671188,33.8,984163,49.5,228088,11.5,83093,4.2,19514,1,806
Female,2023404,687064,34,937410,46.3,277670,13.7,104255,5.2,16211,0.8,794
DAGORETTI,398369,133970,33.6,184694,46.4,61613,15.5,14655,3.7,3263,0.8,174
Male,199539,65978,33.1,96589,48.4,28266,14.2,6709,3.4,1909,1,88
Female,198804,67984,34.2,88093,44.3,33342,16.8,7945,4,1354,0.7,86
EMBAKASI,904247,298718,33,469862,52,96184,10.6,31817,3.5,7374,0.8,292
Male,449669,146665,32.6,242593,53.9,41871,9.3,14469,3.2,3922,0.9,149
Female,454540,152044,33.5,227255,50,54303,11.9,17344,3.8,3452,0.8,142
KAMUKUNJI,242507,76129,31.4,89024,36.7,32671,13.5,41976,17.3,2560,1.1,147
Male,122131,38702,31.7,48523,39.7,15827,13,17406,14.3,1599,1.3,74
Female,120369,37427,31.1,40499,33.6,16840,14,24569,20.4,961,0.8,73
KASARANI,710889,246064,34.6,350997,49.4,82530,11.6,24115,3.4,6962,1,221
Male,344378,121382,35.2,172727,50.2,35668,10.4,10936,3.2,3557,1,108
Female,366478,124669,34,178266,48.6,46851,12.8,13174,3.6,3405,0.9,113
KIBRA,169509,64675,38.2,69361,40.9,27119,16,6547,3.9,1755,1,52
Male,85815,31846,37.1,37211,43.4,12797,14.9,2953,3.4,984,1.1,24
Female,83687,32828,39.2,32146,38.4,14320,17.1,3594,4.3,771,0.9,28
LANG'ATA,180488,63974,35.4,85992,47.6,20561,11.4,8081,4.5,1805,1,75
Male,87399,31677,36.2,42299,48.4,9224,10.6,3173,3.6,994,1.1,32
Female,93081,32294,34.7,43692,46.9,11335,12.2,4908,5.3,810,0.9,42
MAKADARA,176283,55981,31.8,92765,52.6,20547,11.7,5759,3.3,1189,0.7,42
Male,89283,27872,31.2,48411,54.2,9575,10.7,2764,3.1,637,0.7,24
Female,86991,28105,32.3,44353,51,10970,12.6,2995,3.4,550,0.6,18
MATHARE,188625,61040,32.4,77503,41.1,35910,19,12099,6.4,1966,1,107
Male,97147,30150,31,42264,43.5,17612,18.1,5830,6,1236,1.3,55
Female,91465,30888,33.8,35234,38.5,18293,20,6268,6.9,730,0.8,52
NJIRU,573474,205700,35.9,268935,46.9,74809,13,20046,3.5,3746,0.7,238
Male,280310,101161,36.1,134234,47.9,33012,11.8,9667,3.4,2112,0.8,124
Female,293137,104534,35.7,134687,45.9,41793,14.3,10376,3.5,1634,0.6,113
STAREHE,182149,63879,35.1,82615,45.4,20722,11.4,12498,6.9,2277,1.3,158
Male,90480,32284,35.7,42791,47.3,9273,10.2,4884,5.4,1164,1.3,84
Female,91660,31593,34.5,39820,43.4,11447,12.5,7614,8.3,1112,1.2,74
WESTLANDS,283907,88174,31.1,149892,52.8,33141,11.7,9771,3.4,2832,1,97
Male,140701,43471,30.9,76521,54.4,14963,10.6,4302,3.1,1400,1,44
Female,143192,44698,31.2,73365,51.2,18176,12.7,5468,3.8,1432,1,53
