"County/Sub County","Farming","Exotic cattle Dairy","Exotic cattle  Beef","Indigenous cattle","Sheep","Goats","Camels","Donkeys","Pigs","Indigenous Chicken","Exotic Chicken Layers","Exotic Chicken Broilers","Beehives","Rabbits","Fish Ponds","Fish Cages"
"TURKANA NORTH",6956,57,41,425,4309,6526,1484,1172,5,548,48,44,3,1,27,30
"TURKANA SOUTH",10257,68,20,902,6178,8059,2447,1203,5,907,106,74,65,4,31,3
"TURKANA WEST",9451,83,55,2574,6469,7784,2447,3870,12,558,65,37,35,8,43,11
"WEST POKOT",89828,11076,3253,51874,40004,48267,3281,3378,64,52039,2376,1419,15207,228,518,87
"KIPKOMO",14921,1075,518,9283,7446,8004,18,949,9,10246,449,280,2079,54,58,6
"POKOT CENTRAL",17573,549,288,9374,6402,10625,435,230,3,9123,268,99,1911,15,55,10
"POKOT NORTH",20563,751,737,14950,9292,16945,2457,493,30,10563,455,289,5888,34,144,38
"POKOT SOUTH",12241,6033,819,4173,6068,1385,6,631,3,7743,425,170,1202,39,65,6
"WEST POKOT",24530,2668,891,14094,10796,11308,365,1075,19,14364,779,581,4127,86,196,27
"SAMBURU",43149,1046,1112,29629,34813,34279,9204,9857,48,13709,634,367,3642,62,145,31
"SAMBURU CENTRAL",22176,681,663,15372,17003,14671,1843,1904,20,9358,446,212,2377,46,78,6
"SAMBURU EAST",11460,242,301,7544,10104,10780,3784,5126,13,2914,125,64,468,5,20,3
"SAMBURU NORTH",9513,123,148,6713,7706,8828,3577,2827,15,1437,63,91,797,11,47,22
"TRANS NZOIA",140249,34268,3327,33315,33309,7090,"-",3257,670,76678,5329,2025,1959,895,664,86
"TRANS NZOIA WEST",23540,3464,425,7541,5255,1504,"-",900,211,12919,698,294,299,135,101,13
"TRANS NZOIA EAST",36921,14150,992,6653,10280,934,"-",699,95,20374,1451,360,789,206,184,14
"KWANZA",28502,6666,731,6514,6844,853,"-",388,147,14788,1194,563,232,168,159,31
"ENDEBESS",16775,2611,384,5446,5146,2004,"-",1050,58,9076,440,198,220,76,30,4
"KIMININI",34511,7377,795,7161,5784,1795,"-",220,159,19521,1546,610,419,310,190,24
"UASIN GISHU",141547,44163,3056,42622,44277,6478,19,1693,847,73895,5430,1773,5442,1047,477,61
"AINABKOI",17845,6434,614,4985,7021,530,3,116,97,8877,790,364,862,169,58,8
"KAPSERET",16891,6064,517,2764,3682,625,1,55,234,8132,889,296,458,130,62,3
"KESSES",24309,9445,729,6667,7519,563,3,735,42,11969,948,230,998,233,53,5
"MOIBEN",22915,4796,374,10454,10281,1801,3,288,144,12264,694,250,1630,231,113,16
"SOY",33352,10563,371,9815,10157,1385,4,443,79,18855,1011,281,900,133,90,12
"TURBO",26235,6861,451,7937,5617,1574,5,56,251,13798,1098,352,594,151,101,17
"ELGEYO/MARAKWET",74881,13432,1802,31393,27835,10730,21,1708,49,32412,1512,670,5141,530,260,35
"KEIYO NORTH",15190,1902,177,6845,5631,1816,7,163,7,6608,207,60,910,157,27,2
"KEIYO SOUTH",21518,5304,774,9063,8509,2877,5,531,11,10318,574,216,1859,172,105,10
"MARAKWET EAST",15779,1462,328,6168,5397,4056,6,127,6,5108,184,109,1083,22,33,6
"MARAKWET WEST",22394,4764,523,9317,8298,1981,3,887,25,10378,547,285,1289,179,95,17
"NANDI",148887,54653,5315,43268,28054,10032,"-",3116,201,78490,6867,2285,3937,1248,777,79
"CHESUMEI",26835,13575,1063,4170,5720,647,"-",36,29,13598,1752,531,586,265,118,10
"NANDI CENTRAL",23951,8901,868,5918,3902,970,"-",51,57,11421,1265,326,664,255,118,8
"NANDI EAST",16777,6573,557,3999,2603,722,"-",402,12,7514,799,292,460,97,85,6
"NANDI NORTH",30073,13536,1576,7845,8001,1075,"-",337,68,17300,1352,537,908,163,156,26
"NANDI SOUTH",31054,8776,910,11798,5195,3179,"-",488,30,17656,1209,334,703,294,223,23
"TINDERET",20197,3292,341,9538,2633,3439,"-",1802,5,11001,490,265,616,174,77,6
"BARINGO",100465,13012,2709,45272,37159,45686,4368,6093,76,53611,2032,1029,17720,627,468,81
"BARINGO CENTRAL",15137,2643,470,4770,3549,4672,4,211,2,7357,362,133,1839,96,33,6
"BARINGO NORTH",18409,2069,399,7176,5279,8558,12,59,6,9681,349,241,3365,71,23,2
"EAST POKOT",9565,406,451,5888,5644,8703,3165,617,9,3137,170,182,3484,17,137,45
"KOIBATEK",21544,6416,815,7012,7393,2012,6,2178,35,11807,594,232,1000,368,45,8
"MARIGAT",13596,568,207,6332,4469,7552,7,903,4,7956,235,97,2565,27,61,6
"MOGOTIO",13607,722,181,8786,5591,6751,9,1489,17,9436,145,67,3174,42,46,8
"TIATY EAST",8607,188,186,5308,5234,7438,1165,636,3,4237,177,77,2293,6,123,6
"LAIKIPIA",90729,9243,1865,35051,37789,29474,899,4212,328,50215,2317,618,2982,2226,353,26
"LAIKIPIA CENTRAL",18787,2489,413,8431,8399,5885,17,779,92,13016,478,106,567,839,125,3
"LAIKIPIA EAST",13192,1338,244,4793,5557,4303,131,374,81,7117,550,131,355,383,134,13
"LAIKIPIA NORTH",5898,26,87,3833,4834,5133,506,770,5,2847,53,29,1072,4,7,1
"LAIKIPIA WEST",24338,1330,636,9660,10228,9276,236,1109,43,11744,465,189,508,314,33,4
"NYAHURURU",28514,4060,485,8334,8771,4877,9,1180,107,15491,771,163,480,686,54,5
"NAKURU",283652,52739,6781,67473,76438,33712,61,15750,1700,140607,10631,3421,5935,7001,517,56
"GILGIL",27273,2303,452,7735,8013,4912,2,1931,165,15496,924,318,506,849,46,2
"KURESOI NORTH",33190,8714,991,9862,8937,2244,2,2737,28,14337,1202,360,1211,504,65,12
"KURESOI SOUTH",28030,9497,1030,10250,6647,2158,1,1037,6,14374,1071,347,1478,257,52,4
"MOLO",26641,6358,762,4071,7749,1712,6,1227,47,12251,1130,371,585,779,23,3
"NAIVASHA",33061,5273,1022,6839,10321,4740,11,2891,250,16707,1347,485,399,1118,57,9
"NAKURU EAST",8876,824,140,350,1094,849,5,39,109,3458,573,233,28,208,30,2
"NAKURU NORTH",28990,4640,536,3025,7420,3010,4,418,353,14755,1201,350,86,966,51,6
"NAKURU WEST",8752,1068,158,1117,1018,823,2,53,124,2913,486,183,41,87,18,1
"NJORO",41771,6560,643,10479,11983,5171,11,4012,241,20570,1246,346,963,1262,61,9
"RONGAI",29568,4813,642,9195,8138,4848,11,655,97,15727,851,230,326,425,66,4
"SUBUKIA",17500,2689,405,4550,5118,3245,6,750,280,10019,600,198,312,546,48,4
"NAROK",181706,19843,7266,114651,86756,65365,142,50087,169,95746,4169,2245,10552,723,620,118
"NAROK EAST",19206,2188,845,9837,10745,7835,10,5723,39,8256,345,245,585,57,113,19
"NAROK NORTH",35447,3827,1595,18493,19403,8386,23,13724,55,15082,834,456,1202,153,141,25
"NAROK SOUTH",40248,6456,1999,25658,19019,17658,51,10691,30,19979,998,591,2383,226,122,24
"NAROK WEST",30259,2317,1191,22226,16849,17535,23,5755,15,15331,817,413,1696,108,84,20
"TRANS MARA EAST",18907,2059,540,12801,5877,3343,16,2411,10,13906,450,171,1569,115,71,19
"TRANS MARA WEST",37639,2996,1096,25636,14863,10608,19,11783,20,23192,725,369,3117,64,89,11
"MAU FOREST","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"KAJIADO",97565,7099,4171,46503,54683,55397,141,21213,683,34071,2838,1330,1908,1075,379,79
"ISINYA",6584,672,500,2492,2977,2130,7,357,82,2924,403,221,77,134,66,13
"KAJIADO CENTRAL",19641,717,848,14709,16132,15176,53,9312,53,5270,348,144,351,55,65,8
"KAJIADO NORTH",10726,1177,240,639,1065,1366,5,165,274,5648,781,386,127,348,46,9
"KAJIADO WEST",23089,1539,1466,12590,16498,15734,33,6737,95,5206,528,219,555,157,106,32
"LOITOKITOK",29501,2831,909,10591,12517,15050,35,2221,169,10983,697,293,651,361,75,16
"MASHUURU",8024,163,208,5482,5494,5941,8,2421,10,4040,81,67,147,20,21,1
"KERICHO",150845,35358,2708,65545,14603,19020,"-",9640,78,71678,4693,1380,2856,1049,392,50
"BELGUT",23573,7221,359,7819,797,1577,"-",162,7,9603,850,178,174,106,37,8
"BURETI",33285,10651,576,12876,2298,1342,"-",354,20,14658,1232,330,239,206,90,9
"KERICHO EAST",23273,6317,518,8834,1241,2513,"-",650,11,10788,650,185,324,189,65,9
"KIPKELION",22836,2699,319,11965,2988,5563,"-",3429,11,12402,540,218,1010,154,79,6
"LONDIANI",25049,4607,565,11682,5801,1883,"-",2103,21,11650,754,209,860,295,45,6
"SOIN SIGOWET",22829,3863,371,12369,1478,6142,"-",2942,8,12577,667,260,249,99,76,12
"BOMET",152564,39352,3224,79001,21929,20598,"-",8856,54,90671,5682,1463,4719,1590,350,48
"BOMET EAST",26472,4894,682,15643,2136,7070,"-",4392,16,15420,901,213,615,336,54,5
"CHEPALUNGU",31910,7120,641,19638,7051,8051,"-",2322,5,24822,1236,255,1641,367,64,10
"KONOIN",23845,6523,422,9678,3176,974,"-",255,7,9764,987,304,827,99,70,16
"SOTIK",40497,11994,932,20554,6262,2468,"-",876,14,25677,1681,458,968,579,110,8
"BOMET CENTRAL",29840,8821,547,13488,3304,2035,"-",1011,12,14988,877,233,668,209,52,9
"KAKAMEGA",335269,36597,6663,143364,21609,33506,"-",448,14057,197524,8854,3802,2335,3956,2110,253
"BUTERE",29189,1880,414,13981,1627,3891,"-",13,541,17197,515,241,85,302,141,14
"KAKAMEGA CENTRAL",25461,3063,606,9084,1161,2360,"-",4,1087,14460,911,452,95,343,214,19
"KAKAMEGA EAST",31632,2995,905,14180,1393,1580,"-",82,4126,19794,762,356,428,668,168,25
"KAKAMEGA NORTH",43441,8335,1445,17670,2167,5147,"-",91,309,27340,1556,519,713,510,309,30
"KAKAMEGA SOUTH",22218,1713,344,10506,853,1282,"-",11,2930,13914,308,113,65,428,66,10
"KHWISERO",23443,1252,218,11631,922,3103,"-",50,606,14601,314,151,78,374,129,9
"LIKUYANI",24849,4003,491,6500,4231,1020,"-",119,283,12166,1050,386,208,135,176,25
"LUGARI",23281,3545,524,8988,2463,2527,"-",27,1843,14310,846,310,253,242,110,14
"MATETE",11488,1666,279,4642,522,1415,"-",7,205,6264,420,181,124,104,54,11
"MATUNGU",30321,1953,485,14223,1691,3358,"-",19,888,16562,744,458,75,157,260,35
"MUMIAS EAST",21549,1944,275,10332,1226,1811,"-",5,301,12778,377,185,58,286,148,11
"MUMIAS WEST",19375,1236,256,7630,1742,1671,"-",9,522,10486,483,268,40,160,110,12
"NAVAKHOLO",29022,3012,421,13997,1611,4341,"-",11,416,17652,568,182,113,247,225,38
"VIHIGA",113753,12316,1151,54900,2946,14395,"-",37,1324,72658,2399,821,338,1961,478,23
"EMUHAYA",20210,1716,182,10821,458,1946,"-",18,296,13378,247,82,70,486,102,6
"VIHIGA",18652,1985,134,9715,350,3555,"-",1,98,12687,411,106,34,192,83,4
"SABATIA",25789,4315,251,11159,735,2787,"-",7,329,16937,686,188,86,422,78,1
"LUANDA",20058,1745,285,9114,565,2386,"-",8,311,12036,381,201,31,425,75,3
"HAMISI",29042,2555,299,14091,838,3721,"-",3,290,17620,674,244,117,436,140,9
"KAKAMEGA FOREST",2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BUNGOMA",280445,32344,5254,113733,25103,40859,"-",4094,5377,161433,6497,2341,3247,2587,1408,217
"BUMULA",39540,2940,596,17744,1592,7213,"-",69,1776,23086,963,375,161,289,265,30
"BUNGOMA CENTRAL",31835,4082,607,12965,2254,5047,"-",210,688,19039,683,241,212,432,136,21
"BUNGOMA EAST",19688,2272,350,8331,1391,2079,"-",3,305,11284,331,119,281,234,69,12
"BUNGOMA NORTH",20848,3128,454,8399,3072,1615,"-",9,186,12663,610,216,310,191,111,11
"BUNGOMA SOUTH",41443,5165,707,14109,1722,6598,"-",120,671,22116,977,360,251,374,248,34
"CHEPTAIS",22457,2431,578,9257,3266,3141,"-",2191,453,12333,508,145,579,68,116,47
"KIMILILI",25205,3546,612,8484,2335,2334,"-",54,210,12652,569,207,150,234,126,15
"MT. ELGON",12376,1504,192,6524,2817,1746,"-",970,53,7231,217,50,408,71,46,4
"BUNGOMA WEST",22145,1656,297,9483,1179,6046,"-",176,336,13724,467,96,141,159,93,18
"TONGAREN",17578,2453,354,6142,3359,928,"-",21,135,10576,539,223,236,116,84,12
"WEBUYE WEST",26624,3166,507,11677,1583,3781,"-",8,564,16214,632,309,172,418,114,13
"MT. ELGON FOREST",706,1,"-",618,533,331,"-",263,"-",515,1,"-",346,1,"-","-"
"BUSIA",148257,5059,1928,62969,7555,28082,"-",145,29180,88203,2895,1331,629,1313,506,57
"BUNYALA",12676,211,106,4432,480,3242,"-",6,2404,6623,195,146,16,38,57,9
"BUSIA",19412,930,307,7780,1160,2714,"-",17,4663,10949,511,330,54,201,65,8
"BUTULA",26650,910,321,12105,1541,2938,"-",10,3121,15530,454,180,47,234,67,9
"NAMBALE",19743,1010,293,9907,1191,2505,"-",34,3028,11880,624,212,63,160,81,9
"SAMIA",19701,365,111,7733,1195,4595,"-",4,5103,11395,152,76,131,227,83,6
"TESO NORTH",23180,731,313,9919,885,6294,"-",58,3358,15460,356,126,195,172,77,6
"TESO SOUTH",26895,902,477,11093,1103,5794,"-",16,7503,16366,603,261,123,281,76,10
"SIAYA",194362,3956,1467,85837,35629,43129,"-",3222,5145,111991,2186,1173,441,1208,564,311
"SIAYA",44532,1056,415,19842,8016,8579,"-",193,1535,25938,485,273,115,229,118,25
"GEM",38224,983,259,17369,7412,6967,"-",389,1146,22512,364,170,67,362,137,19
"UGENYA",27847,435,253,11114,4097,4408,"-",19,1325,14554,434,246,44,243,51,6
"UGUNJA",21054,450,83,9757,3646,2700,"-",19,543,12462,231,76,25,204,58,7
"BONDO",32920,600,239,14597,5720,11645,"-",1154,419,19152,372,235,105,96,130,220
"RARIEDA",29785,432,218,13158,6738,8830,"-",1448,177,17373,300,173,85,74,70,34
"KISUMU",147117,4642,1632,60438,34871,34414,"-",1912,537,81039,2634,1109,375,1082,698,138
"KISUMU EAST",16348,511,234,5291,2800,3018,"-",58,78,7993,362,191,33,122,107,22
"KISUMU CENTRAL",4157,186,94,799,456,707,"-",21,50,2010,200,147,12,41,37,15
"KISUMU WEST",23207,730,223,9454,2950,4489,"-",32,105,12800,269,103,22,228,85,16
"SEME",24014,700,180,11477,4784,6039,"-",414,156,14415,434,135,65,159,84,21
"MUHORONI",26368,791,230,10531,6764,5439,"-",460,74,13645,395,120,89,223,131,14
"NYANDO",26570,663,263,12382,9027,6878,"-",487,42,15105,297,124,66,131,142,28
"NYAKACH",26453,1061,408,10504,8090,7844,"-",440,32,15071,677,289,88,178,112,22
"HOMA BAY",193812,5830,2512,87253,36093,43402,"-",8416,1973,106788,3457,1780,608,762,939,174
"HOMA BAY",16401,551,186,7288,3442,2833,"-",596,31,8727,294,94,26,66,53,16
"NDHIWA",40976,1131,563,19548,6628,5856,"-",862,1763,22526,552,242,60,138,201,36
"RACHUONYO NORTH",32414,609,278,15057,7564,10279,"-",1556,23,18564,472,300,88,59,134,22
"RACHUONYO EAST",23388,1161,303,11294,5233,4893,"-",402,24,13734,475,355,152,209,117,6
"RACHUONYO SOUTH",23419,813,413,10889,4415,3523,"-",342,25,13298,495,233,100,148,113,18
"RANGWE",22145,1030,536,9759,4852,4019,"-",465,28,11676,753,348,43,66,105,16
"SUBA NORTH",17645,283,101,6829,2290,6336,"-",1876,40,9316,247,98,45,38,105,35
"SUBA SOUTH",17424,252,132,6589,1669,5663,"-",2317,39,8947,169,110,94,38,111,25
"MIGORI",169958,7284,2712,80615,19304,36599,"-",3192,855,93981,2942,1515,1512,822,848,116
"AWENDO",20101,794,325,7703,2511,2369,"-",25,247,9900,304,125,37,135,106,6
"KURIA EAST",14610,998,512,8248,2128,4536,"-",176,8,8847,394,268,388,51,112,26
"KURIA WEST",28212,1658,406,14962,1716,6243,"-",55,15,16530,487,251,866,158,178,25
"NYATIKE",26354,533,253,13922,3358,9420,"-",2007,70,15920,349,199,39,62,89,28
"RONGO",19910,1377,408,8208,2486,2188,"-",19,119,10023,504,204,34,132,107,13
"SUNA EAST",18705,559,144,8598,2209,3703,"-",216,19,10761,210,140,62,82,71,5
"SUNA WEST",17050,540,323,6977,2137,3214,"-",160,23,7773,403,216,45,36,64,5
"URIRI",25016,825,341,11997,2759,4926,"-",534,354,14227,291,112,41,166,121,8
"KISII",219853,28865,3065,87010,4425,24514,"-",1095,85,114896,11297,3856,666,1328,768,112
"ETAGO",15099,1457,198,6240,169,1420,"-",102,5,7721,527,162,35,86,63,13
"GUCHA",15067,1991,231,5796,274,1048,"-",32,5,7666,1001,283,35,75,48,6
"GUCHA SOUTH",15386,1610,324,6307,229,1526,"-",11,3,8357,885,446,46,78,85,21
"KENYENYA",23613,4003,347,8600,581,1753,"-",153,3,11290,1357,551,53,95,81,11
"KISII CENTRAL",24658,3486,223,9471,532,2630,"-",23,11,13486,1145,344,81,190,103,11
"KISII SOUTH",22532,2620,350,7918,221,2344,"-",10,15,10751,924,234,50,166,63,10
"KITUTU CENTRAL",20197,1935,206,6906,406,2697,"-",33,17,10148,802,310,61,179,68,8
"MARANI",21857,2058,223,10090,525,3681,"-",67,3,12111,742,262,119,116,79,5
"MASABA SOUTH",23932,3375,332,11522,791,3670,"-",543,5,14462,1707,477,70,151,29,3
"NYAMACHE",24952,4571,444,9258,435,2550,"-",77,9,12297,1651,583,77,102,88,21
"SAMETA",12560,1759,187,4902,262,1195,"-",44,9,6607,556,204,39,90,61,3
"NYAMIRA",110028,17463,1589,44501,3895,15487,"-",449,27,59702,5932,1923,762,760,440,64
"BORABU",10890,2992,241,3983,1028,1947,"-",119,11,6433,942,283,169,97,84,20
"MANGA",18096,2638,285,7329,486,2207,"-",32,2,10046,1011,321,156,177,77,5
"MASABA NORTH",20678,2685,219,9328,666,2461,"-",50,4,11684,867,259,117,130,76,9
"NYAMIRA NORTH",31900,4463,503,12624,907,5270,"-",166,7,16364,1980,635,153,190,82,11
"NYAMIRA SOUTH",28464,4685,341,11237,808,3602,"-",82,3,15175,1132,425,167,166,121,19
"NAIROBI",32258,2286,595,1242,1754,3863,"-",286,1586,16471,3432,1813,154,1253,208,57
"DAGORETTI",5691,577,116,160,340,548,"-",15,548,2567,576,281,23,234,23,7
"EMBAKASI",3224,210,79,187,144,389,"-",44,188,1593,405,202,11,137,22,10
"KAMUKUNJI",459,14,10,13,23,32,"-",3,5,217,55,32,1,13,8,2
"KASARANI",6136,423,112,156,226,636,"-",27,286,2853,611,314,16,232,42,11
"KIBRA",737,44,12,45,35,71,"-",7,7,364,74,72,5,34,5,1
"LANG'ATA",1712,135,38,134,158,180,"-",18,37,675,141,58,40,52,29,7
"MAKADARA",639,32,11,15,18,64,"-",5,51,371,106,63,4,34,2,1
"MATHARE",735,42,24,46,47,107,"-",15,42,381,120,69,12,33,4,2
"NJIRU",10642,644,138,401,647,1643,"-",141,364,6636,1125,607,20,418,39,5
"STAREHE",483,40,23,35,21,51,"-",7,10,230,57,34,9,19,7,2
"WESTLANDS",1800,125,32,50,95,142,"-",4,48,584,162,81,13,47,27,9
