County,Total,Sex Male ,Sex Female, Sex Intersex,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KENYA,14831700,7352134,7478883,683,4711664,4663734,47930,7526,1971
MOMBASA,1208333,610257,598046,30,378422,376295,2127,220,5495
KWALE,126431,62395,64031,5,37005,36910,95,63,2014
KILIFI,393888,191324,202558,6,112718,112603,115,169,2325
TANA RIVER,75722,37854,37867,1,19897,19314,583,189,400
LAMU,38446,19533,18911,2,10214,10070,144,68,567
TAITA/TAVETA,93774,46620,47149,5,29489,29453,36,113,828
GARISSA,210890,109552,101331,7,37697,36937,760,176,1199
WAJIR,177174,94812,82340,22,30656,29996,660,376,472
MANDERA,270467,135548,134909,10,40282,39226,1056,170,1595
MARSABIT,107239,54790,52447,2,20491,20224,267,136,786
ISIOLO,125669,63075,62589,5,29248,27865,1383,558,225
MERU,138918,68166,70747,5,50910,50629,281,43,3249
THARAKA-NITHI,32743,16048,16694,1,11911,11836,75,25,1316
EMBU,75924,37082,38833,9,28149,28126,23,42,1800
KITUI,54019,26060,27958,1,19250,19207,43,24,2292
MACHAKOS,414078,206460,207609,9,142969,142714,255,243,1703
MAKUENI,77076,39209,37867,-,27059,26927,132,65,1177
NYANDARUA,66535,32523,34007,5,23249,23217,32,45,1473
NYERI,150755,73395,77357,3,57737,55473,2264,82,1843
KIRINYAGA,136224,64925,71286,13,49544,49321,223,84,1631
MURANG'A,118427,56878,61548,1,41597,41459,138,71,1678
KIAMBU,1706285,831589,874588,108,587531,584783,2748,763,2237
TURKANA,140791,71597,69193,1,30620,29993,627,234,601
WEST POKOT,31841,15544,16297,-,8610,8595,15,17,1850
SAMBURU,47132,23716,23416,-,12790,12493,297,54,869
TRANS NZOIA,178734,88501,90228,5,49559,49411,148,109,1635
UASIN GISHU,510205,254000,256189,16,161509,161153,356,305,1670
ELGEYO/MARAKWET,20579,9973,10603,3,6141,6096,45,11,1894
NANDI,59479,29544,29933,2,18600,18529,71,41,1457
BARINGO,75289,36866,38422,1,22524,22514,10,62,1218
LAIKIPIA,127360,63163,64193,4,44808,42754,2054,149,857
NAKURU,1047080,517633,529377,70,339787,328712,11075,949,1103
NAROK,100352,49818,50529,5,31940,31830,110,48,2095
KAJIADO,622622,306865,315734,23,207617,206652,965,388,1604
KERICHO,93538,48024,45508,6,30843,30813,30,43,2197
BOMET,27971,14168,13802,1,9506,9344,162,11,2536
KAKAMEGA,185340,90451,94880,9,54821,54680,141,118,1575
VIHIGA,58384,27951,30431,2,15889,15888,1,27,2152
BUNGOMA,190112,91911,98195,6,50815,50565,250,112,1699
BUSIA,113753,54963,58790,-,30784,30760,24,45,2508
SIAYA,85417,40219,45195,3,25667,24937,730,50,1721
KISUMU,440906,216221,224670,15,131732,128050,3682,139,3177
HOMA BAY,113079,53569,59506,4,32024,31114,910,41,2754
MIGORI,167200,80300,86896,4,42900,42671,229,84,1989
KISII,151410,73924,77478,8,46217,45871,346,40,3811
NYAMIRA,47036,22666,24370,-,13048,13048,-,21,2210
NAIROBI CITY,4397073,2192452,2204376,245,1506888,1494676,12212,704,6247